Trajectories																		
100																		
	KNEE MODEL:SHIN1			KNEE MODEL:SHIN3			KNEE MODEL:SHIN2			KNEE MODEL:THIGH2			KNEE MODEL:THIGH3			KNEE MODEL:THIGH1		
Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	-73.4989	561.187	284.551	-137.181	448.926	215.312	49.3893	543.693	197.04	-25.1671	377.544	36.4935	-1.23138	375.562	21.6098	14.9688	400.351	33.5238
2	-73.5145	561.203	284.52	-137.18	448.944	215.278	49.387	543.702	197.02	-25.1597	377.544	36.4779	-1.22421	375.557	21.5983	14.9716	400.341	33.5061
3	-73.5328	561.236	284.501	-137.212	448.971	215.265	49.3652	543.72	197.003	-25.1775	377.545	36.4729	-1.24895	375.557	21.5926	14.9627	400.342	33.5083
4	-73.5151	561.247	284.486	-137.186	448.985	215.256	49.3888	543.715	196.986	-25.1648	377.549	36.4655	-1.2437	375.554	21.5806	14.9693	400.336	33.4904
5	-73.5132	561.248	284.493	-137.198	448.996	215.268	49.3916	543.713	196.993	-25.1724	377.556	36.4796	-1.25708	375.555	21.5861	14.9625	400.335	33.5014
6	-73.4901	561.252	284.497	-137.177	448.988	215.27	49.4052	543.712	197.001	-25.1567	377.549	36.5077	-1.23347	375.553	21.5939	15.0095	400.323	33.5243
7	-73.5206	561.255	284.512	-137.202	448.993	215.265	49.3858	543.715	197.028	-25.1654	377.553	36.4926	-1.27616	375.58	21.601	15.001	400.327	33.5376
8	-73.5629	561.255	284.487	-137.217	448.981	215.241	49.3586	543.732	197.028	-25.152	377.556	36.4861	-1.22596	375.56	21.6021	15.0066	400.32	33.5276
9	-73.6204	561.252	284.473	-137.251	448.966	215.216	49.325	543.732	197.033	-25.1591	377.552	36.4806	-1.24147	375.555	21.5869	14.9893	400.316	33.5194
10	-73.6509	561.241	284.462	-137.264	448.961	215.196	49.2958	543.743	197.021	-25.165	377.546	36.4713	-1.23101	375.552	21.5876	14.9944	400.314	33.5129
11	-73.6847	561.246	284.45	-137.29	448.961	215.195	49.2751	543.743	197.019	-25.177	377.551	36.4736	-1.2413	375.552	21.5884	14.9616	400.327	33.4939
