time,hka,mldfa,mpta,jlca,mldta
0.000,170.314,151.104,36.664,1.917,148.591
0.010,170.299,151.099,36.674,1.928,148.580
0.020,170.290,151.101,36.672,1.936,148.582
0.030,170.270,151.113,36.688,1.929,148.550
0.040,170.278,151.118,36.668,1.936,148.586
0.050,170.278,151.124,36.654,1.944,148.619
0.060,170.285,151.109,36.643,1.963,148.640
0.070,170.278,151.100,36.650,1.972,148.631
0.080,170.282,151.099,36.654,1.966,148.619
0.090,170.274,151.090,36.674,1.962,148.573
0.100,170.271,151.086,36.686,1.957,148.553
0.110,170.257,151.108,36.695,1.939,148.529
0.120,170.261,151.103,36.692,1.944,148.534
0.130,170.273,151.100,36.679,1.947,148.561
0.140,170.284,151.109,36.673,1.933,148.578
0.150,170.285,151.106,36.671,1.937,148.585
0.160,170.289,151.113,36.671,1.927,148.579
0.170,170.293,151.098,36.666,1.943,148.583
0.180,170.293,151.074,36.671,1.963,148.581
0.190,170.296,151.060,36.662,1.983,148.595
0.200,170.294,151.090,36.672,1.943,148.572
0.210,170.292,151.094,36.677,1.937,148.558
0.220,170.273,151.076,36.682,1.969,148.549
0.230,170.266,151.087,36.676,1.972,148.559
0.240,170.254,151.097,36.672,1.977,148.572
0.250,170.237,151.079,36.666,2.019,148.594
0.260,170.220,151.053,36.666,2.061,148.613
0.270,170.219,151.102,36.662,2.017,148.612
0.280,170.204,151.098,36.662,2.036,148.615
0.290,170.178,151.096,36.676,2.050,148.586
0.300,170.169,151.089,36.685,2.057,148.570
0.310,170.164,151.080,36.694,2.061,148.552
0.320,170.170,151.077,36.682,2.071,148.580
0.330,170.178,151.070,36.675,2.076,148.597
0.340,170.182,151.073,36.673,2.072,148.607
0.350,170.213,151.086,36.666,2.036,148.609
0.360,170.238,151.082,36.660,2.021,148.619
0.370,170.276,151.073,36.651,2.000,148.641
0.380,170.311,151.071,36.646,1.973,148.653
0.390,170.336,151.052,36.637,1.975,148.675
0.400,170.349,151.034,36.643,1.974,148.666
0.410,170.397,151.023,36.651,1.928,148.636
0.420,170.467,151.028,36.636,1.869,148.660
0.430,170.531,151.015,36.644,1.810,148.652
0.440,170.617,151.011,36.626,1.747,148.682
0.450,170.726,151.007,36.588,1.679,148.765
0.460,170.809,151.026,36.585,1.581,148.766
0.470,170.886,151.022,36.577,1.515,148.777
0.480,170.954,151.027,36.579,1.440,148.772
0.490,171.016,151.022,36.599,1.362,148.737
0.500,171.106,151.016,36.593,1.286,148.751
0.510,171.193,151.025,36.594,1.188,148.751
0.520,171.279,151.039,36.590,1.091,148.751
0.530,171.397,151.036,36.577,0.990,148.772
0.540,171.488,151.046,36.562,0.904,148.801
0.550,171.590,151.055,36.573,0.782,148.786
0.560,171.691,151.044,36.549,0.715,148.831
0.570,171.789,151.028,36.549,0.634,148.843
0.580,171.913,151.041,36.538,0.508,148.872
0.590,172.007,151.048,36.528,0.417,148.889
0.600,172.140,151.051,36.528,0.281,148.889
0.610,172.252,151.055,36.521,0.172,148.900
0.620,172.393,151.067,36.513,0.027,148.916
0.630,172.510,151.068,36.490,0.068,148.957
0.640,172.646,151.066,36.487,0.199,148.959
0.650,172.772,151.056,36.488,0.316,148.958
0.660,172.910,151.042,36.483,0.435,148.962
0.670,173.060,151.029,36.477,0.566,148.981
0.680,173.146,150.956,36.477,0.579,149.003
0.690,173.251,150.940,36.437,0.628,149.081
0.700,173.352,150.936,36.441,0.729,149.104
0.710,173.458,150.901,36.406,0.764,149.191
0.720,173.556,150.849,36.366,0.771,149.278
0.730,173.663,150.820,36.361,0.844,149.299
0.740,173.788,150.761,36.345,0.894,149.333
0.750,173.935,150.698,36.321,0.954,149.366
0.760,174.097,150.613,36.305,1.016,149.396
0.770,174.281,150.545,36.267,1.094,149.447
0.780,174.483,150.483,36.225,1.191,149.511
0.790,174.692,150.457,36.181,1.330,149.583
0.800,174.868,150.404,36.141,1.413,149.652
0.810,175.077,150.363,36.110,1.550,149.713
0.820,175.281,150.326,36.064,1.672,149.801
0.830,175.472,150.278,36.015,1.766,149.900
0.840,175.664,150.221,35.960,1.845,150.018
0.850,175.861,150.184,35.894,1.939,150.143
0.860,176.057,150.133,35.845,2.035,150.247
0.870,176.222,150.080,35.827,2.130,150.307
0.880,176.379,150.080,35.752,2.211,150.416
0.890,176.509,150.042,35.752,2.303,150.427
0.900,176.591,150.021,35.741,2.353,150.444
0.910,176.638,149.984,35.781,2.403,150.391
0.920,176.697,149.948,35.735,2.379,150.448
0.930,176.732,149.913,35.738,2.383,150.445
0.940,176.722,149.894,35.789,2.405,150.377
0.950,176.736,149.881,35.768,2.385,150.422
0.960,176.748,149.824,35.704,2.277,150.516
0.970,176.735,149.800,35.686,2.220,150.564
0.980,176.675,149.822,35.725,2.222,150.511
0.990,176.626,149.811,35.718,2.154,150.529
1.000,176.551,149.816,35.726,2.093,150.517
1.010,176.506,149.848,35.716,2.070,150.524
1.020,176.407,149.862,35.778,2.047,150.434
1.030,176.301,149.879,35.752,1.933,150.452
1.040,176.157,149.916,35.783,1.855,150.387
1.050,175.961,149.925,35.813,1.699,150.338
1.060,175.765,149.992,35.851,1.608,150.258
1.070,175.531,150.053,35.879,1.464,150.228
1.080,175.310,150.122,35.874,1.305,150.244
1.090,175.116,150.167,35.867,1.150,150.286
1.100,174.928,150.237,35.814,0.978,150.390
1.110,174.736,150.274,35.834,0.845,150.400
1.120,174.565,150.307,35.865,0.737,150.388
1.130,174.402,150.386,35.887,0.675,150.365
1.140,174.202,150.413,35.905,0.520,150.343
1.150,174.009,150.464,35.936,0.409,150.293
1.160,173.771,150.479,35.974,0.224,150.232
1.170,173.515,150.519,36.017,0.051,150.150
1.180,173.262,150.572,36.065,0.101,150.063
1.190,173.014,150.590,36.106,0.290,150.015
1.200,172.770,150.601,36.115,0.514,150.013
1.210,172.531,150.581,36.100,0.787,150.059
1.220,172.333,150.572,36.097,0.998,150.102
1.230,172.082,150.552,36.094,1.273,150.137
1.240,171.790,150.522,36.086,1.603,150.166
1.250,171.457,150.468,36.110,1.965,150.149
1.260,171.134,150.441,36.075,2.351,150.211
1.270,170.722,150.404,36.156,2.718,150.065
1.280,170.304,150.371,36.219,3.106,149.956
1.290,169.917,150.308,36.267,3.509,149.875
1.300,169.533,150.195,36.339,3.933,149.773
1.310,169.215,150.107,36.405,4.273,149.687
1.320,168.977,150.028,36.435,4.559,149.650
1.330,168.691,149.978,36.479,4.852,149.571
1.340,168.458,150.006,36.510,5.026,149.475
1.350,168.155,150.016,36.588,5.240,149.322
1.360,167.988,150.032,36.637,5.343,149.250
1.370,167.852,150.038,36.674,5.436,149.244
1.380,167.750,150.074,36.679,5.497,149.302
1.390,167.562,150.075,36.695,5.668,149.346
1.400,167.375,150.029,36.710,5.886,149.396
1.410,167.164,150.002,36.763,6.072,149.345
1.420,166.971,149.979,36.844,6.206,149.241
1.430,166.792,149.936,36.911,6.362,149.161
1.440,166.662,149.932,36.965,6.441,149.066
1.450,166.490,149.880,37.020,6.610,148.970
1.460,166.374,149.841,37.049,6.736,148.913
1.470,166.330,149.831,37.039,6.800,148.917
1.480,166.312,149.816,37.050,6.822,148.918
1.490,166.299,149.796,37.046,6.859,148.949
1.500,166.256,149.747,37.053,6.944,148.973
1.510,166.220,149.791,37.052,6.938,148.974
1.520,166.146,149.762,37.067,7.025,148.970
1.530,166.076,149.773,37.079,7.072,148.943
1.540,166.026,149.805,37.088,7.082,148.929
1.550,165.972,149.825,37.122,7.081,148.872
1.560,165.936,149.849,37.124,7.091,148.855
1.570,165.959,149.862,37.103,7.076,148.874
1.580,165.965,149.877,37.078,7.080,148.908
1.590,166.035,149.917,37.023,7.026,148.987
1.600,166.049,149.924,37.018,7.009,148.985
1.610,166.073,149.953,37.002,6.973,148.996
1.620,166.089,149.964,36.988,6.958,149.009
1.630,166.123,150.030,36.964,6.884,149.020
1.640,166.154,150.027,36.927,6.892,149.076
1.650,166.218,150.100,36.900,6.782,149.104
1.660,166.307,150.159,36.864,6.670,149.148
1.670,166.440,150.190,36.836,6.534,149.188
1.680,166.549,150.212,36.806,6.434,149.226
1.690,166.675,150.212,36.779,6.334,149.254
1.700,166.755,150.233,36.765,6.247,149.250
1.710,166.873,150.253,36.754,6.120,149.246
1.720,166.988,150.237,36.739,6.036,149.266
1.730,167.124,150.239,36.707,5.930,149.315
1.740,167.242,150.264,36.667,5.827,149.370
1.750,167.369,150.259,36.627,5.744,149.448
1.760,167.492,150.269,36.568,5.671,149.557
1.770,167.620,150.252,36.521,5.606,149.669
1.780,167.765,150.253,36.452,5.530,149.817
1.790,167.902,150.216,36.383,5.498,149.971
1.800,168.007,150.199,36.350,5.445,150.050
1.810,168.131,150.211,36.318,5.340,150.099
1.820,168.205,150.211,36.323,5.261,150.085
1.830,168.290,150.177,36.308,5.225,150.112
1.840,168.370,150.192,36.304,5.134,150.102
1.850,168.477,150.205,36.284,5.034,150.125
1.860,168.587,150.212,36.274,4.927,150.139
