time,hka,mldfa,mpta,jlca,mldta
0.000,179.763,145.341,35.353,0.456,149.701
0.010,179.774,145.337,35.344,0.455,149.716
0.020,179.785,145.331,35.349,0.464,149.710
0.030,179.793,145.328,35.347,0.468,149.712
0.040,179.818,145.327,35.338,0.483,149.720
0.050,179.821,145.321,35.360,0.503,149.678
0.060,179.841,145.322,35.354,0.517,149.686
0.070,179.852,145.330,35.350,0.531,149.689
0.080,179.871,145.326,35.355,0.552,149.687
0.090,179.891,145.329,35.344,0.563,149.704
0.100,179.907,145.327,35.322,0.556,149.743
0.110,179.921,145.332,35.319,0.572,149.750
0.120,179.920,145.330,35.317,0.567,149.754
0.130,179.926,145.329,35.316,0.570,149.748
0.140,179.909,145.319,35.326,0.555,149.732
0.150,179.940,145.309,35.342,0.591,149.683
0.160,179.941,145.305,35.358,0.604,149.657
0.170,179.960,145.314,35.353,0.626,149.658
0.180,179.955,145.304,35.344,0.603,149.669
0.190,179.959,145.305,35.333,0.597,149.686
0.200,179.961,145.302,35.333,0.596,149.694
0.210,179.975,145.312,35.323,0.610,149.708
0.220,179.973,145.309,35.317,0.599,149.718
0.230,179.967,145.312,35.322,0.600,149.712
0.240,179.953,145.315,35.353,0.620,149.667
0.250,179.945,145.311,35.361,0.617,149.657
0.260,179.917,145.315,35.367,0.599,149.645
0.270,179.904,145.308,35.352,0.564,149.668
0.280,179.898,145.312,35.356,0.566,149.659
0.290,179.886,145.309,35.345,0.541,149.679
0.300,179.875,145.314,35.349,0.538,149.671
0.310,179.866,145.311,35.342,0.520,149.685
0.320,179.871,145.308,35.342,0.521,149.692
0.330,179.885,145.304,35.324,0.513,149.722
0.340,179.876,145.307,35.333,0.516,149.711
0.350,179.880,145.307,35.337,0.525,149.705
0.360,179.878,145.313,35.339,0.530,149.704
0.370,179.863,145.311,35.341,0.515,149.698
0.380,179.861,145.320,35.340,0.521,149.696
0.390,179.856,145.317,35.351,0.525,149.683
0.400,179.867,145.310,35.344,0.521,149.695
0.410,179.876,145.312,35.342,0.531,149.701
0.420,179.868,145.307,35.345,0.520,149.695
0.430,179.871,145.306,35.341,0.519,149.701
0.440,179.868,145.307,35.342,0.517,149.698
0.450,179.878,145.313,35.331,0.522,149.715
0.460,179.865,145.311,35.345,0.522,149.698
0.470,179.869,145.307,35.332,0.509,149.716
0.480,179.858,145.310,35.338,0.507,149.713
0.490,179.850,145.310,35.346,0.506,149.697
0.500,179.861,145.316,35.340,0.518,149.709
0.510,179.868,145.317,35.337,0.523,149.714
0.520,179.865,145.317,35.342,0.524,149.704
0.530,179.861,145.314,35.333,0.508,149.713
0.540,179.847,145.314,35.347,0.507,149.684
0.550,179.838,145.315,35.356,0.509,149.669
0.560,179.846,145.323,35.351,0.520,149.668
0.570,179.842,145.319,35.354,0.516,149.665
0.580,179.848,145.322,35.354,0.523,149.672
0.590,179.850,145.328,35.353,0.531,149.672
0.600,179.857,145.331,35.357,0.545,149.670
0.610,179.848,145.332,35.358,0.538,149.676
0.620,179.854,145.335,35.335,0.524,149.714
0.630,179.854,145.345,35.343,0.541,149.697
0.640,179.853,145.349,35.330,0.532,149.717
0.650,179.855,145.340,35.347,0.541,149.690
0.660,179.859,145.345,35.334,0.538,149.701
0.670,179.852,145.348,35.351,0.551,149.673
0.680,179.838,145.350,35.370,0.558,149.636
0.690,179.845,145.347,35.353,0.545,149.670
0.700,179.825,145.348,35.348,0.521,149.676
0.710,179.815,145.347,35.359,0.521,149.666
0.720,179.802,145.351,35.348,0.501,149.689
0.730,179.806,145.352,35.344,0.502,149.709
0.740,179.809,145.360,35.324,0.493,149.744
0.750,179.815,145.359,35.318,0.493,149.764
0.760,179.818,145.371,35.330,0.519,149.746
0.770,179.805,145.367,35.331,0.503,149.745
0.780,179.803,145.368,35.337,0.508,149.734
0.790,179.760,145.378,35.331,0.469,149.757
0.800,179.749,145.380,35.335,0.464,149.737
0.810,179.746,145.390,35.346,0.482,149.718
0.820,179.754,145.395,35.335,0.484,149.738
0.830,179.763,145.400,35.320,0.484,149.776
0.840,179.788,145.409,35.295,0.492,149.823
0.850,179.777,145.418,35.285,0.480,149.843
0.860,179.776,145.420,35.267,0.463,149.871
0.870,179.764,145.426,35.265,0.454,149.869
0.880,179.745,145.437,35.283,0.464,149.835
0.890,179.756,145.438,35.267,0.460,149.867
0.900,179.754,145.440,35.276,0.470,149.856
0.910,179.746,145.444,35.250,0.440,149.903
0.920,179.730,145.451,35.266,0.447,149.884
0.930,179.703,145.454,35.258,0.416,149.906
0.940,179.661,145.473,35.275,0.408,149.885
0.950,179.587,145.482,35.254,0.323,149.924
0.960,179.543,145.501,35.252,0.295,149.935
0.970,179.454,145.499,35.248,0.201,149.952
0.980,179.421,145.518,35.307,0.245,149.889
0.990,179.300,145.525,35.273,0.097,149.949
1.000,179.213,145.538,35.261,0.012,149.976
1.010,179.122,145.565,35.289,0.024,149.951
1.020,179.013,145.560,35.293,0.134,149.946
1.030,178.905,145.571,35.317,0.208,149.918
1.040,178.836,145.564,35.390,0.210,149.824
1.050,178.726,145.558,35.429,0.287,149.756
1.060,178.613,145.553,35.412,0.422,149.772
1.070,178.450,145.567,35.511,0.472,149.596
1.080,178.297,145.587,35.472,0.643,149.643
1.090,178.161,145.598,35.490,0.751,149.614
1.100,178.069,145.610,35.486,0.835,149.624
1.110,177.969,145.585,35.531,0.915,149.543
1.120,177.881,145.606,35.604,0.910,149.465
1.130,177.807,145.634,35.589,0.970,149.504
1.140,177.663,145.640,35.533,1.164,149.602
1.150,177.553,145.673,35.626,1.148,149.539
1.160,177.442,145.683,35.541,1.334,149.676
1.170,177.403,145.708,35.548,1.340,149.691
1.180,177.287,145.707,35.553,1.454,149.710
1.190,177.247,145.717,35.522,1.515,149.781
1.200,177.160,145.727,35.540,1.573,149.778
1.210,177.066,145.736,35.586,1.612,149.724
1.220,176.995,145.750,35.586,1.669,149.711
1.230,176.919,145.764,35.601,1.716,149.682
1.240,176.869,145.802,35.613,1.717,149.654
1.250,176.791,145.806,35.634,1.769,149.627
1.260,176.692,145.817,35.653,1.838,149.598
1.270,176.609,145.786,35.696,1.909,149.537
1.280,176.698,145.846,35.661,1.794,149.539
1.290,176.637,145.876,35.629,1.858,149.602
1.300,176.754,145.925,35.459,1.863,149.980
1.310,176.705,145.836,35.434,2.024,150.093
1.320,176.710,145.839,35.420,2.031,150.140
1.330,176.713,145.841,35.440,2.006,150.131
1.340,176.804,145.878,35.411,1.907,150.188
1.350,176.761,145.915,35.388,1.935,150.239
1.360,176.790,145.913,35.332,1.965,150.364
1.370,176.578,145.832,35.426,2.163,150.260
1.380,176.703,145.843,35.447,2.007,150.261
1.390,176.704,145.948,35.339,2.010,150.376
1.400,176.921,145.953,35.283,1.842,150.466
1.410,177.196,145.982,35.146,1.676,150.651
1.420,177.282,145.967,35.091,1.660,150.725
1.430,177.289,145.949,35.101,1.661,150.705
1.440,177.267,145.911,35.150,1.672,150.608
1.450,176.454,145.846,35.637,2.063,149.897
1.460,176.419,145.855,35.768,1.958,149.649
1.470,176.530,145.849,35.606,2.016,149.913
1.480,176.380,145.833,35.509,2.277,150.003
1.490,176.578,145.852,35.377,2.193,150.197
1.500,176.765,145.860,35.216,2.159,150.421
1.510,176.815,145.824,35.235,2.127,150.418
1.520,176.778,145.817,35.152,2.253,150.544
1.530,176.817,145.757,35.219,2.207,150.469
1.540,176.850,145.748,35.204,2.198,150.493
1.550,176.789,145.725,35.208,2.279,150.506
1.560,176.841,145.665,35.221,2.274,150.522
