time,hka,mldfa,mpta,jlca,mldta,delta
0.000,180.937,141.346,38.016,0.299,148.642,-104.565
0.010,180.930,141.338,38.021,0.289,148.638,-104.536
0.020,180.920,141.336,38.024,0.280,148.634,-104.512
0.030,180.913,141.327,38.033,0.273,148.619,-104.480
0.040,180.916,141.325,38.032,0.273,148.616,-104.482
0.050,180.906,141.323,38.045,0.274,148.590,-104.458
0.060,180.932,141.326,38.051,0.310,148.573,-104.517
0.070,180.921,141.326,38.054,0.301,148.566,-104.493
0.080,180.916,141.324,38.064,0.304,148.546,-104.480
0.090,180.908,141.316,38.074,0.298,148.526,-104.449
0.100,180.923,141.323,38.068,0.314,148.536,-104.491
0.110,180.911,141.326,38.060,0.297,148.560,-104.473
0.120,180.920,141.325,38.065,0.310,148.558,-104.490
0.130,180.937,141.319,38.054,0.309,148.590,-104.511
0.140,180.939,141.321,38.047,0.307,148.613,-104.519
0.150,180.949,141.323,38.039,0.311,148.631,-104.544
0.160,180.943,141.321,38.042,0.306,148.626,-104.527
0.170,180.927,141.325,38.058,0.310,148.595,-104.504
0.180,180.917,141.320,38.058,0.296,148.582,-104.475
0.190,180.910,141.330,38.056,0.296,148.578,-104.480
0.200,180.920,141.323,38.053,0.295,148.571,-104.485
0.210,180.921,141.445,38.048,0.414,148.566,-104.732
0.220,180.919,141.445,38.049,0.413,148.551,-104.728
0.230,180.914,141.434,38.091,0.439,148.453,-104.696
0.240,180.919,141.425,38.070,0.415,148.485,-104.689
0.250,180.887,141.322,38.086,0.295,148.448,-104.417
0.260,180.889,141.326,38.050,0.265,148.521,-104.430
0.270,180.868,141.319,38.078,0.265,148.451,-104.374
0.280,180.882,141.327,38.053,0.263,148.496,-104.419
0.290,180.872,141.329,38.042,0.243,148.519,-104.402
0.300,180.850,141.430,38.020,0.300,148.559,-104.560
0.310,180.829,141.402,38.012,0.244,148.576,-104.463
0.320,180.825,141.342,38.039,0.205,148.517,-104.333
0.330,180.807,141.322,38.015,0.143,148.571,-104.257
0.340,180.815,141.441,37.980,0.236,148.619,-104.512
0.350,180.813,141.430,38.005,0.248,148.561,-104.486
0.360,180.777,141.303,37.970,0.050,148.640,-104.161
0.370,180.759,141.284,38.017,0.060,148.544,-104.087
0.380,180.779,141.382,37.969,0.130,148.623,-104.321
0.390,180.750,141.325,38.066,0.140,148.424,-104.149
0.400,180.735,141.325,38.100,0.160,148.349,-104.120
0.410,180.738,141.280,38.143,0.161,148.247,-104.036
0.420,180.671,141.208,38.103,0.017,148.314,-103.794
0.430,180.643,141.206,38.186,0.034,148.110,-103.697
0.440,180.622,141.122,38.176,0.080,148.116,-103.649
0.450,180.660,141.117,38.309,0.086,147.804,-103.554
0.460,180.643,140.994,38.372,0.009,147.601,-103.274
0.470,180.619,140.932,38.403,0.046,147.486,-103.194
0.480,180.652,140.867,38.373,0.109,147.512,-103.255
0.490,180.589,140.808,38.351,0.253,147.514,-103.298
0.500,180.558,140.755,38.371,0.317,147.442,-103.258
0.510,180.542,140.694,38.498,0.266,147.160,-103.003
0.520,180.512,140.627,38.530,0.331,147.074,-102.940
0.530,180.479,140.573,38.579,0.369,146.952,-102.843
0.540,180.470,140.511,38.623,0.395,146.838,-102.753
0.550,180.384,140.457,38.599,0.560,146.869,-102.802
0.560,180.432,140.384,38.722,0.461,146.582,-102.555
0.570,180.472,140.201,38.743,0.583,146.476,-102.514
0.580,180.517,140.118,38.760,0.605,146.388,-102.480
0.590,180.440,140.008,38.724,0.828,146.422,-102.552
0.600,180.472,139.927,38.904,0.697,146.042,-102.192
0.610,180.429,139.826,38.961,0.784,145.902,-102.079
0.620,180.411,139.709,39.040,0.840,145.711,-101.920
0.630,180.457,139.675,39.098,0.770,145.548,-101.805
0.640,180.444,139.592,39.154,0.810,145.411,-101.692
0.650,180.435,139.508,39.222,0.835,145.250,-101.556
0.660,180.434,139.398,39.300,0.868,145.050,-101.400
0.670,180.393,139.260,39.404,0.943,144.838,-101.192
0.680,180.378,139.054,39.499,1.069,144.633,-101.002
0.690,180.382,138.951,39.587,1.080,144.426,-100.825
0.700,180.357,138.811,39.726,1.106,144.142,-100.548
0.710,180.379,138.692,39.822,1.107,143.917,-100.356
0.720,180.514,138.510,39.863,1.112,143.739,-100.274
0.730,180.503,138.376,39.946,1.176,143.564,-100.108
0.740,180.499,138.375,40.072,1.054,143.274,-99.857
0.750,180.432,138.279,40.218,1.070,142.998,-99.563
0.760,180.373,138.010,40.377,1.239,142.690,-99.245
0.770,180.340,137.858,40.517,1.285,142.389,-98.965
0.780,180.318,137.698,40.678,1.307,142.040,-98.644
0.790,180.275,137.556,40.858,1.312,141.636,-98.284
0.800,180.262,137.407,41.025,1.306,141.256,-97.950
0.810,180.244,137.218,41.212,1.327,140.815,-97.577
0.820,180.241,137.005,41.375,1.379,140.421,-97.249
0.830,180.233,136.790,41.540,1.436,140.016,-96.919
0.840,180.308,136.741,41.651,1.300,139.715,-96.697
0.850,180.324,136.580,41.764,1.331,139.426,-96.471
0.860,180.216,136.421,42.073,1.290,138.758,-95.855
0.870,180.198,136.249,42.261,1.292,138.330,-95.477
0.880,180.214,136.063,42.446,1.278,137.883,-95.108
0.890,180.250,135.834,42.592,1.324,137.513,-94.816
0.900,180.217,135.590,42.805,1.389,137.026,-94.390
0.910,180.181,135.446,42.987,1.386,136.635,-94.027
0.920,180.179,135.277,43.169,1.375,136.224,-93.663
0.930,180.206,135.083,43.321,1.389,135.870,-93.357
0.940,180.099,134.848,43.525,1.527,135.513,-92.949
0.950,180.156,134.644,43.646,1.555,135.223,-92.709
0.960,180.327,134.429,43.695,1.549,135.056,-92.611
0.970,180.695,134.364,43.669,1.271,134.916,-92.661
0.980,180.776,134.158,43.802,1.263,134.608,-92.396
0.990,181.157,134.093,43.757,0.993,134.536,-92.486
1.000,181.213,133.893,43.884,1.009,134.263,-92.231
1.010,181.208,133.616,44.016,1.159,134.036,-91.968
1.020,181.435,133.335,44.049,1.181,133.875,-91.901
1.030,181.389,133.181,44.215,1.215,133.588,-91.570
