time,hka,mldfa,mpta,jlca,mldta,delta
0.000,183.608,148.788,24.027,3.576,177.892,-131.945
0.010,183.589,148.789,24.004,3.618,177.897,-131.991
0.020,183.566,148.774,23.980,3.680,177.900,-132.040
0.030,183.538,148.790,23.977,3.695,177.871,-132.046
0.040,183.523,148.764,23.945,3.769,177.876,-132.110
0.050,183.514,148.758,23.918,3.810,177.872,-132.164
0.060,183.482,148.768,23.900,3.850,177.850,-132.200
0.070,183.458,148.776,23.879,3.887,177.829,-132.242
0.080,183.430,148.774,23.869,3.927,177.784,-132.261
0.090,183.414,148.804,23.853,3.930,177.743,-132.294
0.100,183.391,148.835,23.855,3.920,177.676,-132.290
0.110,183.378,148.795,23.865,3.962,177.588,-132.270
0.120,183.342,148.743,23.890,4.025,177.481,-132.220
0.130,183.300,148.721,23.897,4.082,177.401,-132.206
0.140,183.258,148.710,23.943,4.088,177.262,-132.113
0.150,183.197,148.706,23.981,4.116,177.136,-132.037
0.160,183.149,148.699,24.021,4.130,177.004,-131.958
0.170,183.086,148.691,24.042,4.181,176.909,-131.916
0.180,183.036,148.721,24.070,4.172,176.802,-131.859
0.190,182.989,148.685,24.079,4.247,176.720,-131.842
0.200,182.965,148.656,24.090,4.289,176.637,-131.820
0.210,182.936,148.635,24.073,4.355,176.590,-131.853
0.220,182.898,148.616,24.102,4.384,176.472,-131.797
0.230,182.853,148.590,24.133,4.424,176.350,-131.734
0.240,182.840,148.580,24.115,4.466,176.308,-131.771
0.250,182.800,148.554,24.166,4.479,176.156,-131.668
0.260,182.764,148.518,24.162,4.557,176.097,-131.676
0.270,182.713,148.536,24.217,4.534,175.941,-131.567
0.280,182.673,148.528,24.252,4.547,175.821,-131.496
0.290,182.631,148.511,24.286,4.572,175.704,-131.428
0.300,182.608,148.502,24.310,4.579,175.601,-131.379
0.310,182.566,148.475,24.341,4.618,175.497,-131.318
0.320,182.527,148.443,24.420,4.610,175.317,-131.160
0.330,182.495,148.423,24.397,4.685,175.296,-131.207
0.340,182.491,148.429,24.378,4.702,175.268,-131.243
0.350,182.491,148.431,24.345,4.734,175.264,-131.310
0.360,182.475,148.399,24.325,4.802,175.245,-131.351
0.370,182.461,148.411,24.314,4.814,175.207,-131.372
0.380,182.441,148.413,24.286,4.860,175.200,-131.427
0.390,182.379,148.366,24.283,4.972,175.158,-131.434
0.400,182.375,148.399,24.252,4.974,175.149,-131.496
0.410,182.323,148.348,24.286,5.043,175.042,-131.429
0.420,182.320,148.329,24.241,5.110,175.043,-131.518
0.430,182.317,148.296,24.254,5.132,174.946,-131.491
0.440,182.292,148.262,24.244,5.202,174.889,-131.511
0.450,182.256,148.225,24.238,5.281,174.820,-131.524
0.460,182.212,148.185,24.255,5.349,174.721,-131.491
0.470,182.171,148.209,24.276,5.343,174.609,-131.448
0.480,182.123,148.125,24.295,5.457,174.500,-131.410
0.490,182.067,148.092,24.305,5.535,174.406,-131.389
0.500,182.025,148.062,24.334,5.579,174.280,-131.332
0.510,181.941,148.094,24.355,5.609,174.181,-131.289
0.520,181.925,147.997,24.240,5.837,174.269,-131.519
0.530,181.916,147.930,24.262,5.891,174.157,-131.475
0.540,181.931,147.966,24.099,6.004,174.318,-131.803
0.550,181.880,147.885,24.165,6.069,174.148,-131.670
0.560,181.876,147.812,24.112,6.200,174.152,-131.776
0.570,181.837,147.751,24.146,6.266,174.029,-131.707
0.580,181.782,147.775,24.094,6.349,174.039,-131.811
0.590,181.654,147.707,24.110,6.529,173.973,-131.780
0.600,181.570,147.687,24.055,6.687,174.009,-131.889
0.610,181.436,147.635,24.032,6.897,174.013,-131.937
0.620,181.353,147.650,23.881,7.117,174.201,-132.239
0.630,181.324,147.624,23.768,7.283,174.331,-132.463
0.640,181.246,147.605,23.716,7.434,174.390,-132.568
0.650,181.168,147.591,23.672,7.568,174.432,-132.655
0.660,181.103,147.555,23.652,7.690,174.439,-132.696
0.670,181.020,147.580,23.633,7.767,174.438,-132.735
0.680,180.944,147.571,23.647,7.839,174.396,-132.706
0.690,180.837,147.580,23.672,7.911,174.338,-132.655
0.700,180.755,147.541,23.718,7.987,174.255,-132.565
0.710,180.688,147.562,23.658,8.092,174.313,-132.684
0.720,180.582,147.577,23.625,8.217,174.350,-132.750
0.730,180.546,147.598,23.519,8.338,174.486,-132.962
0.740,180.488,147.611,23.443,8.457,174.586,-133.113
