time,hka,mldfa,mpta,jlca,mldta
0.000,178.438,145.128,36.991,0.556,143.809
0.010,178.424,145.125,36.998,0.547,143.804
0.020,178.413,145.126,36.999,0.539,143.802
0.030,178.403,145.123,37.007,0.533,143.792
0.040,178.405,145.124,37.003,0.532,143.798
0.050,178.396,145.125,37.011,0.532,143.785
0.060,178.429,145.130,37.003,0.562,143.797
0.070,178.428,145.131,36.997,0.557,143.803
0.080,178.432,145.131,36.997,0.560,143.798
0.090,178.430,145.125,37.001,0.557,143.781
0.100,178.447,145.128,36.995,0.570,143.790
0.110,178.430,145.130,36.996,0.556,143.787
0.120,178.432,145.129,37.005,0.565,143.779
0.130,178.441,145.123,37.001,0.565,143.795
0.140,178.442,145.125,36.997,0.564,143.807
0.150,178.448,145.127,36.994,0.569,143.818
0.160,178.441,145.125,36.998,0.564,143.815
0.170,178.431,145.128,37.008,0.567,143.796
0.180,178.417,145.125,37.011,0.554,143.788
0.190,178.416,145.132,37.005,0.554,143.796
0.200,178.428,145.128,36.997,0.553,143.805
0.210,178.437,145.222,36.991,0.650,143.788
0.220,178.435,145.224,36.990,0.649,143.787
0.230,178.433,145.219,37.014,0.666,143.754
0.240,178.429,145.215,37.001,0.645,143.784
0.250,178.398,145.139,37.009,0.547,143.789
0.260,178.380,145.145,36.995,0.520,143.823
0.270,178.366,145.143,37.011,0.520,143.795
0.280,178.356,145.151,37.006,0.514,143.812
0.290,178.337,145.154,37.005,0.496,143.818
0.300,178.313,145.233,36.997,0.543,143.811
0.310,178.288,145.213,36.995,0.497,143.822
0.320,178.277,145.170,37.013,0.461,143.812
0.330,178.236,145.162,37.010,0.407,143.829
0.340,178.220,145.262,36.997,0.478,143.828
0.350,178.194,145.265,37.022,0.482,143.797
0.360,178.131,145.182,37.004,0.317,143.863
0.370,178.102,145.184,37.034,0.320,143.835
0.380,178.098,145.275,37.001,0.373,143.884
0.390,178.037,145.252,37.076,0.365,143.798
0.400,178.000,145.272,37.100,0.372,143.766
0.410,177.978,145.263,37.123,0.363,143.743
0.420,177.868,145.239,37.104,0.211,143.775
0.430,177.848,145.269,37.127,0.244,143.738
0.440,177.771,145.245,37.123,0.139,143.777
0.450,177.797,145.283,37.178,0.259,143.721
0.460,177.727,145.240,37.211,0.179,143.659
0.470,177.665,145.244,37.212,0.121,143.672
0.480,177.628,145.246,37.182,0.056,143.762
0.490,177.524,145.254,37.152,0.070,143.810
0.500,177.461,145.266,37.142,0.130,143.839
0.510,177.419,145.274,37.205,0.102,143.762
0.520,177.350,145.278,37.208,0.165,143.772
0.530,177.280,145.294,37.221,0.206,143.763
0.540,177.223,145.308,37.233,0.237,143.757
0.550,177.086,145.330,37.206,0.378,143.795
0.560,177.094,145.342,37.254,0.310,143.752
0.570,177.107,145.267,37.213,0.413,143.848
0.580,177.099,145.273,37.188,0.439,143.892
0.590,176.966,145.264,37.146,0.624,143.958
0.600,176.989,145.275,37.211,0.526,143.897
0.610,176.915,145.273,37.212,0.600,143.906
0.620,176.863,145.264,37.224,0.649,143.895
0.630,176.861,145.319,37.220,0.599,143.898
0.640,176.815,145.338,37.213,0.634,143.919
0.650,176.788,145.356,37.200,0.655,143.947
0.660,176.759,145.361,37.197,0.683,143.946
0.670,176.711,145.342,37.205,0.742,143.958
0.680,176.669,145.279,37.210,0.841,143.974
0.690,176.643,145.294,37.213,0.850,143.973
0.700,176.609,145.284,37.239,0.869,143.951
0.710,176.602,145.292,37.237,0.869,143.960
0.720,176.616,145.277,37.235,0.873,143.945
0.730,176.575,145.278,37.227,0.920,143.972
0.740,176.595,145.371,37.211,0.823,143.978
0.750,176.579,145.390,37.200,0.831,144.024
0.760,176.510,145.303,37.229,0.958,144.020
0.770,176.477,145.300,37.234,0.989,144.019
0.780,176.456,145.295,37.247,1.002,144.005
0.790,176.439,145.302,37.257,1.002,143.987
0.800,176.421,145.313,37.273,0.993,143.957
0.810,176.391,145.302,37.304,1.003,143.898
0.820,176.347,145.284,37.333,1.036,143.839
0.830,176.305,145.267,37.356,1.072,143.795
0.840,176.431,145.331,37.270,0.967,143.922
0.850,176.455,145.336,37.221,0.987,143.996
0.860,176.433,145.339,37.272,0.955,143.935
0.870,176.425,145.344,37.280,0.951,143.927
0.880,176.449,145.342,37.273,0.936,143.939
0.890,176.459,145.316,37.262,0.963,143.945
0.900,176.431,145.276,37.288,1.005,143.904
0.910,176.425,145.296,37.278,1.001,143.946
0.920,176.434,145.301,37.276,0.988,143.953
0.930,176.432,145.302,37.277,0.990,143.960
0.940,176.327,145.265,37.322,1.086,143.946
0.950,176.341,145.257,37.304,1.097,143.982
0.960,176.410,145.258,37.252,1.081,144.075
0.970,176.813,145.279,37.016,0.892,144.448
0.980,176.841,145.268,37.013,0.878,144.453
0.990,177.077,145.363,36.893,0.666,144.578
1.000,177.091,145.347,36.891,0.672,144.581
1.010,177.048,145.271,36.908,0.773,144.579
1.020,177.112,145.222,36.902,0.765,144.518
1.030,177.108,145.190,36.908,0.793,144.537
1.040,177.098,145.180,36.926,0.797,144.532
1.050,177.142,145.167,36.913,0.778,144.574
1.060,177.271,145.265,36.857,0.607,144.645
1.070,177.310,145.233,36.842,0.614,144.693
1.080,177.121,145.140,36.946,0.793,144.624
1.090,177.206,145.112,36.925,0.757,144.670
1.100,177.224,145.043,36.934,0.799,144.680
1.110,177.281,145.018,36.922,0.779,144.683
1.120,177.314,145.007,36.918,0.761,144.677
1.130,177.337,144.994,36.929,0.740,144.639
1.140,177.316,144.989,36.946,0.749,144.589
1.150,177.290,144.978,36.958,0.774,144.557
1.160,177.322,144.961,36.940,0.777,144.605
1.170,177.327,144.941,36.930,0.803,144.647
1.180,177.375,144.913,36.870,0.841,144.808
1.190,177.464,144.879,36.796,0.861,144.982
1.200,177.485,144.842,36.792,0.881,145.014
1.210,177.489,144.811,36.663,1.037,145.203
1.220,177.488,144.786,36.673,1.053,145.187
1.230,177.484,144.761,36.673,1.082,145.171
1.240,177.554,144.723,36.633,1.090,145.226
1.250,177.486,144.711,36.667,1.136,145.150
1.260,177.536,144.872,36.476,1.116,145.387
1.270,177.431,144.808,36.490,1.271,145.402
