time,hka,mldfa,mpta,jlca,mldta
0.000,173.417,148.638,35.712,2.234,150.494
0.010,173.331,148.641,35.728,2.301,150.483
0.020,173.249,148.636,35.733,2.382,150.487
0.030,173.152,148.657,35.761,2.430,150.459
0.040,173.049,148.647,35.768,2.537,150.472
0.050,172.949,148.653,35.780,2.617,150.471
0.060,172.823,148.674,35.802,2.701,150.458
0.070,172.692,148.693,35.824,2.790,150.442
0.080,172.552,148.704,35.856,2.887,150.409
0.090,172.417,148.744,35.883,2.957,150.381
0.100,172.290,148.788,35.910,3.012,150.355
0.110,172.177,148.781,35.928,3.114,150.352
0.120,172.048,148.764,35.955,3.232,150.330
0.130,171.923,148.771,35.968,3.339,150.321
0.140,171.797,148.784,36.011,3.409,150.264
0.150,171.653,148.799,36.051,3.498,150.210
0.160,171.502,148.809,36.104,3.585,150.135
0.170,171.333,148.816,36.152,3.699,150.068
0.180,171.184,148.855,36.200,3.761,150.005
0.190,171.028,148.845,36.231,3.897,149.975
0.200,170.877,148.842,36.276,4.005,149.927
0.210,170.720,148.847,36.299,4.135,149.916
0.220,170.558,148.857,36.346,4.239,149.874
0.230,170.388,148.861,36.400,4.351,149.818
0.240,170.259,148.877,36.410,4.454,149.822
0.250,170.093,148.878,36.480,4.550,149.743
0.260,169.936,148.869,36.507,4.688,149.728
0.270,169.758,148.899,36.587,4.756,149.620
0.280,169.582,148.904,36.660,4.855,149.528
0.290,169.398,148.902,36.736,4.965,149.433
0.300,169.234,148.906,36.802,5.058,149.353
0.310,169.068,148.899,36.866,5.167,149.281
0.320,168.892,148.888,36.973,5.247,149.159
0.330,168.724,148.885,37.009,5.382,149.128
0.340,168.584,148.902,37.046,5.467,149.098
0.350,168.450,148.916,37.072,5.563,149.085
0.360,168.291,148.900,37.116,5.693,149.054
0.370,168.115,148.916,37.178,5.791,148.987
0.380,167.924,148.922,37.237,5.917,148.929
0.390,167.696,148.895,37.310,6.098,148.861
0.400,167.482,148.930,37.382,6.206,148.790
0.410,167.233,148.908,37.491,6.369,148.678
0.420,167.023,148.914,37.538,6.524,148.647
0.430,166.804,148.915,37.627,6.655,148.566
0.440,166.598,148.922,37.676,6.805,148.539
