time,hka,mldfa,mpta,jlca,mldta,delta
0.0,170.474,115.404,72.213,-33.664,148.281,-0.000999999999990564
0.01,170.458,115.405,72.217,-33.647,148.271,0.0009999999999976694
0.02,170.45,115.406,72.216,-33.64,148.273,0.0
0.03,170.43,115.428,72.221,-33.636,148.241,-0.0009999999999976694
0.04,170.438,115.419,72.215,-33.643,148.276,0.0010000000000189857
0.05,170.438,115.416,72.21,-33.644,148.309,7.105427357601002e-15
0.06,170.445,115.394,72.207,-33.632,148.329,-7.105427357601002e-15
0.07,170.437,115.39,72.209,-33.619,148.321,0.000999999999990564
0.08,170.441,115.391,72.21,-33.622,148.309,-1.4210854715202004e-14
0.09,170.435,115.395,72.216,-33.613,148.264,-0.0010000000000047748
0.1,170.431,115.4,72.221,-33.61,148.244,-1.4210854715202004e-14
0.11,170.418,115.427,72.224,-33.622,148.22,0.000999999999990564
0.12,170.422,115.42,72.223,-33.619,148.226,0.0
0.13,170.434,115.409,72.218,-33.624,148.252,-0.0009999999999976694
0.14,170.445,115.414,72.216,-33.643,148.269,0.0
0.15,170.446,115.41,72.216,-33.64,148.276,0.0
0.16,170.45,115.417,72.216,-33.651,148.27,7.105427357601002e-15
0.17,170.453,115.398,72.214,-33.637,148.274,0.0
0.18,170.453,115.377,72.216,-33.615,148.272,0.0009999999999976694
0.19,170.457,115.357,72.213,-33.601,148.286,0.0
0.2,170.456,115.394,72.216,-33.634,148.263,0.0
0.21,170.454,115.4,72.218,-33.636,148.249,-7.105427357601002e-15
0.22,170.435,115.386,72.219,-33.602,148.241,-7.105427357601002e-15
0.23,170.428,115.392,72.217,-33.603,148.25,7.105427357601002e-15
0.24,170.415,115.4,72.216,-33.599,148.263,-7.105427357601002e-15
0.25,170.398,115.378,72.214,-33.562,148.284,0.0
0.26,170.38,115.353,72.214,-33.52,148.304,0.0010000000000118803
0.27,170.38,115.399,72.213,-33.567,148.302,0.0009999999999976694
0.28,170.364,115.396,72.213,-33.548,148.306,0.000999999999990564
0.29,170.338,115.403,72.217,-33.523,148.277,-0.0009999999999976694
