time,hka,mldfa,mpta,jlca,delta,mldta
0.0,172.22,114.08,71.901,-34.399,0.0,150.749
0.01,172.196,114.066,71.906,-34.356,7.105427357601002e-15,150.726
0.02,172.191,114.07,71.908,-34.353,7.105427357601002e-15,150.718
0.03,172.18,114.069,71.909,-34.34,0.0,150.714
0.04,172.173,114.066,71.909,-34.329,-0.0009999999999976694,150.715
0.05,172.167,114.066,71.907,-34.326,-7.105427357601002e-15,150.722
0.06,172.175,114.115,71.908,-34.383,0.0009999999999976694,150.705
0.07,172.167,114.109,71.906,-34.37,7.105427357601002e-15,150.714
0.08,172.152,114.102,71.91,-34.344,7.105427357601002e-15,150.702
0.09,172.155,114.098,71.908,-34.345,0.0,150.712
0.1,172.143,114.077,71.909,-34.311,7.105427357601002e-15,150.72
0.11,172.136,114.083,71.909,-34.31,1.4210854715202004e-14,150.714
0.12,172.126,114.084,71.911,-34.298,-0.0010000000000047748,150.705
0.13,172.128,114.122,71.909,-34.34,-0.0009999999999763531,150.705
0.14,172.125,114.125,71.91,-34.34,0.0,150.699
0.15,172.119,114.134,71.911,-34.342,0.0,150.69
0.16,172.107,114.123,71.911,-34.319,0.0,150.697
0.17,172.094,114.144,71.915,-34.323,7.105427357601002e-15,150.673
0.18,172.06,114.165,71.925,-34.3,-1.4210854715202004e-14,150.612
0.19,172.047,114.165,71.929,-34.283,0.0,150.591
0.2,172.051,114.173,71.926,-34.298,1.4210854715202004e-14,150.608
0.21,172.04,114.182,71.926,-34.295,-0.000999999999990564,150.602
0.22,172.042,114.198,71.928,-34.312,0.0,150.59
0.23,172.027,114.19,71.93,-34.286,-0.0009999999999763531,150.585
0.24,172.017,114.199,71.929,-34.287,7.105427357601002e-15,150.582
0.25,172.002,114.216,71.931,-34.287,-7.105427357601002e-15,150.575
0.26,171.98,114.211,71.931,-34.26,7.105427357601002e-15,150.575
0.27,171.958,114.216,71.934,-34.24,7.105427357601002e-15,150.566
0.28,171.926,114.203,71.939,-34.19,0.0,150.551
0.29,171.905,114.194,71.938,-34.16,-0.0010000000000047748,150.556
0.3,171.896,114.195,71.941,-34.15,2.1316282072803006e-14,150.555
0.31,171.869,114.192,71.942,-34.12,0.0009999999999976694,150.553
0.32,171.876,114.215,71.941,-34.15,-7.105427357601002e-15,150.558
0.33,171.85,114.235,71.94,-34.145,7.105427357601002e-15,150.552
0.34,171.827,114.252,71.945,-34.134,0.0,150.528
0.35,171.819,114.238,71.942,-34.115,7.105427357601002e-15,150.544
0.36,171.79,114.258,71.95,-34.098,1.4210854715202004e-14,150.501
0.37,171.771,114.219,71.949,-34.04,-0.0009999999999834586,150.516
0.38,171.77,114.254,71.95,-34.075,0.000999999999990564,150.505
0.39,171.751,114.244,71.952,-34.043,-7.105427357601002e-15,150.502
0.4,171.763,114.243,71.947,-34.059,0.0,150.524
0.41,171.76,114.272,71.947,-34.085,7.105427357601002e-15,150.527
0.42,171.77,114.266,71.943,-34.093,-1.4210854715202004e-14,150.543
0.43,171.755,114.274,71.949,-34.08,0.0,150.515
0.44,171.76,114.256,71.949,-34.067,7.105427357601002e-15,150.518
0.45,171.754,114.266,71.949,-34.071,0.0,150.516
0.46,171.749,114.277,71.955,-34.072,0.0010000000000047748,150.479
0.47,171.749,114.259,71.954,-34.055,0.0009999999999976694,150.487
0.48,171.756,114.261,71.952,-34.065,0.0,150.496
0.49,171.773,114.249,71.95,-34.072,1.4210854715202004e-14,150.502
0.5,171.786,114.253,71.95,-34.089,0.0,150.509
0.51,171.787,114.246,71.948,-34.085,-7.105427357601002e-15,150.514
0.52,171.769,114.265,71.953,-34.081,0.0,150.485
0.53,171.757,114.303,71.954,-34.106,-7.105427357601002e-15,150.454
0.54,171.731,114.345,71.959,-34.117,7.105427357601002e-15,150.415
0.55,171.702,114.365,71.961,-34.106,7.105427357601002e-15,150.398
0.56,171.673,114.388,71.965,-34.096,-7.105427357601002e-15,150.371
0.57,171.666,114.408,71.964,-34.111,0.0009999999999976694,150.373
0.58,171.673,114.398,71.961,-34.111,0.0009999999999976694,150.407
0.59,171.689,114.43,71.958,-34.161,0.0,150.433
0.6,171.699,114.478,71.956,-34.222,0.0009999999999976694,150.441
0.61,171.696,114.514,71.959,-34.251,7.105427357601002e-15,150.426
0.62,171.692,114.535,71.96,-34.268,0.000999999999990564,150.412
0.63,171.697,114.533,71.961,-34.269,-7.105427357601002e-15,150.416
