time,hka,mldfa,mpta,jlca,delta,mldta
0.0,179.909,108.488,72.113,-36.284,7.105427357601002e-15,149.415
0.01,179.92,108.48,72.109,-36.29,-0.0009999999999976694,149.429
0.02,179.93,108.471,72.117,-36.284,-7.105427357601002e-15,149.424
0.03,179.938,108.465,72.119,-36.284,7.105427357601002e-15,149.426
0.04,179.963,108.448,72.126,-36.285,1.4210854715202004e-14,149.433
0.05,179.967,108.443,72.146,-36.264,-7.105427357601002e-15,149.393
0.06,179.986,108.431,72.154,-36.264,0.0010000000000118803,149.4
0.07,179.997,108.426,72.162,-36.261,-7.105427357601002e-15,149.403
0.08,180.016,108.412,72.177,-36.251,7.105427357601002e-15,149.401
0.09,180.036,108.4,72.182,-36.254,-7.105427357601002e-15,149.417
0.1,180.053,108.388,72.17,-36.271,0.0,149.455
0.11,180.066,108.381,72.18,-36.267,7.105427357601002e-15,149.462
0.12,180.065,108.381,72.176,-36.27,7.105427357601002e-15,149.466
0.13,180.072,108.376,72.178,-36.27,-7.105427357601002e-15,149.459
0.14,180.055,108.384,72.171,-36.268,0.0,149.443
0.15,180.086,108.359,72.2,-36.246,0.0009999999999976694,149.396
0.16,180.087,108.358,72.213,-36.232,0.0,149.37
0.17,180.105,108.348,72.226,-36.227,7.105427357601002e-15,149.371
0.18,180.1,108.348,72.208,-36.241,0.0010000000000047748,149.382
0.19,180.104,108.346,72.201,-36.25,0.0009999999999763531,149.399
0.2,180.106,108.344,72.2,-36.25,1.4210854715202004e-14,149.406
0.21,180.12,108.338,72.206,-36.252,7.105427357601002e-15,149.42
0.22,180.118,108.339,72.196,-36.26,-0.0009999999999976694,149.43
0.23,180.112,108.344,72.199,-36.256,-0.000999999999990564,149.424
0.24,180.097,108.354,72.223,-36.229,0.000999999999990564,149.38
0.25,180.09,108.358,72.223,-36.225,-7.105427357601002e-15,149.369
0.26,180.062,108.378,72.213,-36.227,-2.1316282072803006e-14,149.358
0.27,180.049,108.384,72.184,-36.249,-7.105427357601002e-15,149.38
0.28,180.043,108.39,72.187,-36.245,-0.0010000000000118803,149.372
0.29,180.031,108.396,72.167,-36.261,0.0009999999999976694,149.391
0.3,180.02,108.405,72.166,-36.259,-1.4210854715202004e-14,149.383
0.31,180.011,108.411,72.152,-36.269,-0.0009999999999976694,149.397
0.32,180.015,108.407,72.152,-36.269,-0.0009999999999834586,149.404
0.33,180.029,108.396,72.142,-36.283,0.0,149.434
0.34,180.02,108.403,72.146,-36.277,-1.4210854715202004e-14,149.422
0.35,180.024,108.4,72.154,-36.271,0.000999999999990564,149.416
0.36,180.022,108.404,72.157,-36.268,-0.000999999999990564,149.415
0.37,180.007,108.413,72.148,-36.272,-7.105427357601002e-15,149.408
0.38,180.005,108.417,72.152,-36.27,7.105427357601002e-15,149.407
0.39,180.001,108.419,72.158,-36.262,0.0,149.393
0.4,180.012,108.409,72.154,-36.268,0.000999999999990564,149.405
0.41,180.021,108.404,72.159,-36.265,-0.0009999999999763531,149.411
0.42,180.012,108.408,72.153,-36.267,7.105427357601002e-15,149.404
0.43,180.016,108.405,72.151,-36.27,7.105427357601002e-15,149.41
0.44,180.013,108.407,72.151,-36.269,-7.105427357601002e-15,149.407
0.45,180.023,108.403,72.15,-36.275,-0.0009999999999976694,149.423
0.46,180.01,108.411,72.155,-36.266,7.105427357601002e-15,149.407
0.47,180.014,108.407,72.142,-36.279,-7.105427357601002e-15,149.425
0.48,180.002,108.416,72.142,-36.275,-0.0010000000000118803,149.422
0.49,179.994,108.421,72.144,-36.271,0.0,149.405
0.5,180.005,108.416,72.15,-36.271,1.4210854715202004e-14,149.417
0.51,180.012,108.412,72.153,-36.271,0.0,149.423
0.52,180.008,108.414,72.155,-36.267,-7.105427357601002e-15,149.413
0.53,180.004,108.416,72.141,-36.279,2.1316282072803006e-14,149.422
0.54,179.99,108.426,72.146,-36.27,-7.105427357601002e-15,149.393
0.55,179.981,108.432,72.149,-36.264,7.105427357601002e-15,149.378
0.56,179.988,108.43,72.155,-36.263,-7.105427357601002e-15,149.377
0.57,179.984,108.431,72.153,-36.262,0.0,149.375
0.58,179.989,108.429,72.158,-36.26,-7.105427357601002e-15,149.381
