time,hka,mldfa,mpta,jlca,delta,mldta
0.0,173.417,112.446,71.904,-33.958,-0.0010000000000047748,150.494
0.01,173.331,112.459,71.909,-33.881,1.4210854715202004e-14,150.483
0.02,173.249,112.458,71.911,-33.796,7.105427357601002e-15,150.487
0.03,173.152,112.497,71.92,-33.729,1.4210854715202004e-14,150.459
0.04,173.049,112.492,71.923,-33.618,-7.105427357601002e-15,150.472
0.05,172.949,112.507,71.927,-33.529,-7.105427357601002e-15,150.471
0.06,172.823,112.542,71.934,-33.431,-1.4210854715202004e-14,150.458
0.07,172.692,112.576,71.941,-33.327,0.0,150.442
0.08,172.552,112.609,71.952,-33.208,-0.000999999999990564,150.409
0.09,172.417,112.666,71.961,-33.121,-0.0009999999999976694,150.381
0.1,172.29,112.728,71.97,-33.048,1.4210854715202004e-14,150.355
0.11,172.177,112.732,71.976,-32.934,0.0010000000000047748,150.352
0.12,172.048,112.735,71.985,-32.797,-0.0010000000000047748,150.33
0.13,171.923,112.749,71.989,-32.683,7.105427357601002e-15,150.321
0.14,171.797,112.791,72.004,-32.584,1.4210854715202004e-14,150.264
0.15,171.653,112.832,72.017,-32.469,0.0010000000000118803,150.21
0.16,171.502,112.878,72.035,-32.345,-1.4210854715202004e-14,150.135
0.17,171.333,112.917,72.051,-32.2,0.0010000000000047748,150.068
0.18,171.184,112.988,72.067,-32.106,0.0009999999999976694,150.005
0.19,171.028,112.998,72.077,-31.95,0.0010000000000012221,149.975
0.2,170.877,113.026,72.092,-31.811,-7.105427357601002e-15,149.927
0.21,170.72,113.046,72.1,-31.666,-1.0658141036401503e-14,149.916
0.22,170.558,113.088,72.115,-31.53,-0.000999999999990564,149.874
0.23,170.388,113.128,72.133,-31.382,-0.0010000000000083276,149.818
0.24,170.259,113.151,72.137,-31.273,1.7763568394002505e-14,149.822
0.25,170.093,113.198,72.16,-31.13,-0.0009999999999870113,149.743
0.26,169.936,113.207,72.169,-30.974,-3.552713678800501e-15,149.728
0.27,169.758,113.291,72.196,-30.852,-0.0010000000000083276,149.62
0.28,169.582,113.344,72.22,-30.706,1.0658141036401503e-14,149.528
0.29,169.398,113.392,72.245,-30.545,1.4210854715202004e-14,149.433
0.3,169.234,113.441,72.267,-30.407,-0.001000000000015433,149.353
0.31,169.068,113.476,72.289,-30.256,0.000999999999990564,149.281
0.32,168.892,113.536,72.324,-30.105,0.0010000000000012221,149.159
0.33,168.724,113.558,72.336,-29.946,3.552713678800501e-15,149.128
0.34,168.584,113.6,72.349,-29.835,7.105427357601002e-15,149.098
0.35,168.45,113.63,72.357,-29.723,1.4210854715202004e-14,149.085
