time,hka,mldfa,mpta,jlca,mldta,delta
0.000,183.205,152.699,21.481,2.615,177.687,-137.037
0.010,183.200,152.698,21.479,2.623,177.684,-137.043
0.020,183.210,152.713,21.448,2.629,177.637,-137.103
0.030,183.214,152.743,21.436,2.606,177.619,-137.128
0.040,183.229,152.749,21.399,2.623,177.564,-137.201
0.050,183.224,152.745,21.384,2.648,177.539,-137.233
0.060,183.229,152.721,21.374,2.676,177.526,-137.252
0.070,183.212,152.708,21.389,2.691,177.545,-137.221
0.080,183.206,152.705,21.407,2.682,177.571,-137.186
0.090,183.189,152.704,21.440,2.668,177.618,-137.120
0.100,183.183,152.701,21.461,2.655,177.646,-137.078
0.110,183.167,152.731,21.470,2.632,177.658,-137.059
0.120,183.168,152.722,21.470,2.640,177.654,-137.060
0.130,183.179,152.714,21.459,2.649,177.637,-137.083
0.140,183.181,152.718,21.458,2.644,177.630,-137.085
0.150,183.189,152.712,21.448,2.651,177.613,-137.104
0.160,183.198,152.726,21.437,2.639,177.593,-137.127
0.170,183.198,152.711,21.422,2.669,177.564,-137.157
0.180,183.189,152.684,21.428,2.699,177.565,-137.145
0.190,183.185,152.673,21.413,2.729,177.535,-137.175
0.200,183.182,152.721,21.420,2.677,177.545,-137.160
0.210,183.186,152.737,21.410,2.666,177.526,-137.180
0.220,183.177,152.722,21.402,2.698,177.516,-137.195
0.230,183.184,152.737,21.379,2.700,177.485,-137.242
0.240,183.183,152.742,21.370,2.704,177.479,-137.259
0.250,183.182,152.710,21.359,2.749,177.472,-137.281
0.260,183.166,152.662,21.372,2.800,177.495,-137.256
0.270,183.173,152.717,21.369,2.741,177.503,-137.262
0.280,183.152,152.704,21.380,2.764,177.526,-137.240
0.290,183.145,152.705,21.388,2.762,177.551,-137.225
0.300,183.130,152.699,21.406,2.765,177.582,-137.188
0.310,183.126,152.693,21.419,2.761,177.607,-137.161
0.320,183.130,152.683,21.411,2.776,177.599,-137.179
0.330,183.150,152.677,21.397,2.776,177.586,-137.206
0.340,183.163,152.685,21.382,2.770,177.565,-137.236
0.350,183.217,152.722,21.347,2.714,177.515,-137.306
0.360,183.268,152.730,21.313,2.689,177.471,-137.373
0.370,183.314,152.731,21.289,2.665,177.432,-137.421
0.380,183.363,152.743,21.267,2.628,177.398,-137.467
0.390,183.397,152.730,21.243,2.631,177.360,-137.515
0.400,183.417,152.724,21.234,2.625,177.344,-137.531
0.410,183.471,152.740,21.235,2.554,177.341,-137.531
0.420,183.532,152.754,21.230,2.484,177.332,-137.539
0.430,183.603,152.746,21.254,2.397,177.368,-137.492
0.440,183.696,152.747,21.248,2.309,177.364,-137.504
0.450,183.836,152.739,21.225,2.200,177.348,-137.550
