time,hka,mldfa,mpta,jlca,mldta,delta
0.000,184.148,144.776,29.967,1.109,165.159,-120.067
0.010,184.159,144.767,29.969,1.105,165.144,-120.062
0.020,184.169,144.756,29.987,1.088,165.103,-120.026
0.030,184.181,144.751,29.990,1.078,165.090,-120.020
0.040,184.201,144.749,29.990,1.060,165.081,-120.020
0.050,184.199,144.744,30.024,1.033,165.014,-119.953
0.060,184.213,144.749,30.018,1.020,165.024,-119.964
0.070,184.217,144.759,30.015,1.009,165.030,-119.970
0.080,184.232,144.759,30.021,0.989,165.028,-119.959
0.090,184.249,144.766,30.002,0.983,165.067,-119.997
0.100,184.261,144.768,29.970,1.001,165.134,-120.061
0.110,184.276,144.782,29.954,0.988,165.170,-120.092
0.120,184.284,144.788,29.927,1.001,165.231,-120.146
0.130,184.289,144.795,29.908,1.007,165.270,-120.183
0.140,184.275,144.793,29.902,1.030,165.293,-120.195
0.150,184.364,144.791,29.870,0.975,165.326,-120.261
0.160,184.360,144.792,29.886,0.962,165.303,-120.229
0.170,184.376,144.806,29.880,0.938,165.306,-120.239
0.180,184.365,144.794,29.877,0.965,165.303,-120.245
0.190,184.359,144.792,29.878,0.970,165.289,-120.243
0.200,184.356,144.785,29.890,0.969,165.266,-120.220
0.210,184.363,144.792,29.894,0.951,165.241,-120.212
0.220,184.361,144.786,29.893,0.961,165.232,-120.215
0.230,184.362,144.789,29.894,0.954,165.221,-120.212
0.240,184.352,144.795,29.927,0.925,165.159,-120.145
0.250,184.353,144.795,29.926,0.926,165.158,-120.147
0.260,184.336,144.805,29.913,0.946,165.178,-120.174
0.270,184.331,144.803,29.879,0.987,165.234,-120.242
0.280,184.332,144.815,29.869,0.985,165.249,-120.262
0.290,184.324,144.817,29.845,1.014,165.285,-120.309
0.300,184.312,144.825,29.844,1.019,165.283,-120.313
0.310,184.303,144.826,29.833,1.039,165.291,-120.333
0.320,184.308,144.825,29.831,1.036,165.286,-120.337
0.330,184.336,144.825,29.799,1.040,165.324,-120.402
0.340,184.328,144.835,29.800,1.037,165.320,-120.401
0.350,184.335,144.845,29.793,1.027,165.326,-120.414
0.360,184.343,144.861,29.772,1.024,165.362,-120.456
0.370,184.336,144.871,29.747,1.046,165.408,-120.506
0.380,184.338,144.892,29.727,1.043,165.441,-120.546
0.390,184.338,144.897,29.727,1.038,165.442,-120.547
0.400,184.346,144.897,29.710,1.047,165.468,-120.579
0.410,184.352,144.906,29.702,1.039,165.482,-120.595
0.420,184.343,144.906,29.696,1.055,165.492,-120.609
0.430,184.349,144.912,29.679,1.060,165.521,-120.642
0.440,184.346,144.917,29.672,1.065,165.535,-120.657
0.450,184.358,144.929,29.651,1.061,165.567,-120.698
0.460,184.351,144.932,29.656,1.060,165.564,-120.689
0.470,184.360,144.929,29.635,1.076,165.597,-120.731
0.480,184.344,144.933,29.644,1.079,165.588,-120.713
0.490,184.344,144.930,29.649,1.076,165.572,-120.701
0.500,184.359,144.934,29.648,1.059,165.571,-120.705
0.510,184.365,144.930,29.654,1.051,165.559,-120.693
0.520,184.358,144.924,29.674,1.043,165.515,-120.652
0.530,184.347,144.916,29.674,1.062,165.511,-120.651
0.540,184.327,144.910,29.704,1.059,165.455,-120.592
0.550,184.305,144.905,29.735,1.055,165.400,-120.530
0.560,184.299,144.907,29.751,1.043,165.366,-120.497
0.570,184.297,144.893,29.769,1.041,165.330,-120.462
0.580,184.296,144.887,29.788,1.029,165.297,-120.423
0.590,184.288,144.883,29.811,1.018,165.255,-120.379
0.600,184.288,144.874,29.838,1.000,165.208,-120.324
0.610,184.274,144.862,29.859,1.004,165.174,-120.281
0.620,184.280,144.852,29.849,1.018,165.189,-120.301
0.630,184.267,144.851,29.885,0.997,165.127,-120.230
0.640,184.260,144.842,29.892,1.006,165.119,-120.216
0.650,184.250,144.818,29.942,0.990,165.034,-120.115
0.660,184.250,144.812,29.948,0.990,165.025,-120.104
0.670,184.238,144.800,29.994,0.967,164.948,-120.011
0.680,184.226,144.786,30.043,0.946,164.859,-119.914
0.690,184.240,144.760,30.054,0.947,164.837,-119.893
0.700,184.230,144.736,30.077,0.958,164.785,-119.847
0.710,184.221,144.704,30.137,0.938,164.668,-119.726
0.720,184.218,144.675,30.168,0.939,164.596,-119.665
0.730,184.221,144.639,30.225,0.914,164.476,-119.550
0.740,184.219,144.608,30.268,0.904,164.374,-119.464
0.750,184.211,144.568,30.338,0.884,164.233,-119.324
0.760,184.197,144.542,30.428,0.833,164.054,-119.144
0.770,184.170,144.501,30.496,0.833,163.922,-119.008
0.780,184.141,144.466,30.579,0.814,163.768,-118.843
0.790,184.048,144.441,30.658,0.853,163.645,-118.684
0.800,184.027,144.409,30.718,0.846,163.532,-118.563
0.810,184.019,144.383,30.786,0.812,163.416,-118.428
0.820,184.018,144.349,30.838,0.795,163.324,-118.325
0.830,184.013,144.310,30.898,0.779,163.225,-118.204
0.840,184.033,144.272,30.943,0.752,163.143,-118.114
0.850,184.019,144.233,31.002,0.747,163.040,-117.997
