time,hka,mldfa,mpta,jlca,mldta,delta
0.000,182.022,147.301,22.896,7.781,175.721,-134.208
0.010,181.946,147.233,22.873,7.947,175.689,-134.253
0.020,181.724,147.288,22.999,7.989,175.470,-134.002
0.030,181.663,147.205,23.037,8.095,175.343,-133.927
0.040,181.582,147.172,23.092,8.154,175.199,-133.816
0.050,181.477,147.122,23.153,8.248,175.058,-133.694
0.060,181.361,147.033,23.179,8.427,174.972,-133.642
0.070,181.273,146.987,23.199,8.541,174.899,-133.602
0.080,181.208,146.960,23.220,8.613,174.828,-133.561
0.090,181.158,146.896,23.172,8.774,174.846,-133.657
0.100,181.158,146.838,23.100,8.903,174.898,-133.799
0.110,181.154,146.778,22.997,9.071,174.988,-134.005
0.120,181.145,146.707,22.935,9.213,175.029,-134.131
0.130,181.170,146.649,22.883,9.299,175.053,-134.235
0.140,181.155,146.604,22.842,9.399,175.072,-134.316
0.150,181.152,146.559,22.815,9.474,175.078,-134.371
0.160,181.179,146.535,22.711,9.576,175.192,-134.578
0.170,181.229,146.544,22.643,9.584,175.265,-134.714
0.180,181.238,146.565,22.578,9.619,175.338,-134.845
0.190,181.257,146.578,22.522,9.643,175.404,-134.957
0.200,181.255,146.607,22.470,9.668,175.461,-135.060
0.210,181.253,146.634,22.458,9.654,175.473,-135.084
0.220,181.280,146.636,22.404,9.680,175.534,-135.192
0.230,181.318,146.644,22.360,9.678,175.579,-135.279
0.240,181.344,146.636,22.292,9.728,175.654,-135.416
0.250,181.354,146.622,22.241,9.783,175.715,-135.518
0.260,181.356,146.617,22.216,9.811,175.737,-135.568
0.270,181.352,146.597,22.175,9.875,175.786,-135.649
0.280,181.308,146.605,22.152,9.935,175.812,-135.696
0.290,181.280,146.611,22.128,9.980,175.843,-135.744
0.300,181.260,146.648,22.132,9.959,175.828,-135.735
0.310,181.197,146.652,22.155,9.996,175.791,-135.689
0.320,181.155,146.669,22.195,9.982,175.726,-135.611
0.330,181.089,146.659,22.262,9.991,175.626,-135.477
0.340,181.041,146.640,22.343,9.975,175.502,-135.314
0.350,180.918,146.639,22.434,10.010,175.365,-135.133
0.360,180.847,146.662,22.516,9.974,175.238,-134.968
0.370,180.796,146.641,22.572,9.991,175.141,-134.856
