time,hka,mldfa,mpta,jlca,mldta
0.000,179.129,145.192,36.031,0.353,148.672
0.010,179.240,145.175,36.013,0.428,148.678
0.020,179.681,145.000,35.816,0.496,148.914
0.030,180.168,144.907,35.571,0.646,149.265
0.040,180.297,144.876,35.550,0.722,149.284
0.050,180.419,144.865,35.426,0.710,149.480
0.060,180.574,144.856,35.393,0.824,149.508
0.070,180.664,144.859,35.383,0.906,149.496
0.080,180.830,144.904,35.310,1.045,149.623
0.090,180.903,144.816,35.295,1.014,149.642
0.100,180.870,144.741,35.371,0.981,149.554
0.110,180.927,144.691,35.377,0.995,149.503
0.120,180.993,144.656,35.400,1.050,149.463
0.130,181.173,144.656,35.392,1.222,149.469
0.140,181.386,144.628,35.377,1.391,149.433
0.150,181.573,144.602,35.358,1.534,149.431
0.160,181.762,144.583,35.325,1.671,149.443
0.170,181.825,144.552,35.340,1.717,149.423
0.180,182.105,144.526,35.195,1.826,149.699
0.190,182.224,144.477,35.171,1.872,149.735
0.200,182.370,144.513,35.150,2.034,149.753
0.210,182.622,144.509,35.047,2.178,149.907
0.220,182.689,144.477,35.065,2.232,149.896
0.230,182.755,144.444,35.061,2.260,149.883
0.240,182.856,144.419,35.084,2.359,149.822
0.250,183.025,144.395,35.058,2.478,149.852
0.260,183.208,144.376,35.053,2.637,149.835
0.270,183.444,144.360,35.026,2.829,149.872
0.280,183.412,144.288,35.115,2.815,149.724
0.290,183.613,144.289,35.021,2.924,149.846
0.300,183.828,144.329,34.977,3.133,149.911
0.310,183.918,144.326,34.962,3.207,149.935
0.320,184.054,144.310,34.925,3.289,150.022
0.330,184.121,144.295,34.967,3.383,149.970
0.340,184.243,144.283,34.921,3.447,150.056
0.350,184.195,144.328,34.981,3.504,149.956
0.360,184.358,144.321,34.910,3.588,150.099
0.370,184.482,144.253,34.874,3.609,150.145
0.380,184.506,144.238,34.898,3.642,150.094
0.390,184.575,144.247,34.885,3.707,150.116
0.400,184.624,144.242,34.822,3.688,150.210
0.410,184.701,144.236,34.845,3.782,150.188
0.420,184.594,144.232,34.885,3.711,150.101
0.430,184.687,144.224,34.828,3.739,150.206
0.440,184.660,144.203,34.862,3.725,150.183
0.450,184.702,144.181,34.880,3.763,150.123
0.460,184.874,144.221,34.801,3.896,150.225
0.470,184.876,144.204,34.827,3.906,150.179
0.480,184.817,144.199,34.872,3.889,150.100
0.490,184.810,144.190,34.885,3.884,150.067
0.500,184.849,144.203,34.871,3.924,150.075
0.510,184.814,144.291,34.890,3.995,150.028
0.520,184.807,144.303,34.873,3.983,150.064
0.530,184.774,144.309,34.890,3.972,150.039
0.540,184.732,144.325,34.896,3.953,150.024
0.550,184.696,144.340,34.907,3.944,149.996
0.560,184.620,144.345,34.941,3.906,149.943
0.570,184.607,144.374,34.933,3.914,149.959
0.580,184.595,144.390,34.921,3.906,149.984
0.590,184.551,144.392,34.929,3.872,149.971
0.600,184.481,144.419,34.932,3.833,149.973
0.610,184.466,144.434,34.936,3.837,149.972
0.620,184.464,144.453,34.922,3.839,150.002
0.630,184.482,144.487,34.871,3.840,150.061
0.640,184.304,144.518,34.992,3.813,149.823
0.650,184.222,144.523,35.020,3.765,149.785
0.660,184.100,144.542,35.085,3.728,149.657
0.670,184.062,144.540,35.034,3.636,149.762
0.680,184.015,144.573,35.035,3.622,149.777
0.690,183.912,144.646,35.075,3.632,149.728
0.700,183.900,144.603,35.070,3.573,149.713
0.710,183.908,144.607,35.038,3.552,149.754
0.720,183.918,144.599,34.981,3.498,149.847
0.730,183.858,144.621,35.025,3.503,149.789
0.740,183.818,144.629,35.054,3.501,149.753
0.750,183.707,144.599,35.077,3.383,149.716
0.760,183.726,144.620,34.967,3.313,149.950
0.770,183.592,144.615,35.022,3.229,149.851
0.780,183.502,144.625,35.123,3.251,149.693
0.790,183.468,144.613,35.094,3.175,149.741
0.800,183.437,144.620,35.076,3.132,149.781
0.810,183.417,144.642,35.128,3.187,149.710
0.820,183.411,144.638,35.129,3.178,149.713
0.830,183.374,144.672,35.132,3.178,149.705
0.840,183.322,144.694,35.133,3.148,149.699
0.850,183.250,144.707,35.151,3.107,149.656
0.860,183.188,144.731,35.159,3.077,149.637
0.870,183.118,144.742,35.179,3.039,149.600
0.880,183.084,144.754,35.192,3.030,149.599
0.890,183.070,144.759,35.223,3.052,149.566
0.900,183.074,144.756,35.208,3.039,149.606
0.910,183.099,144.731,35.150,2.980,149.712
0.920,183.137,144.748,35.154,3.038,149.699
0.930,183.158,144.724,35.138,3.020,149.719
0.940,183.155,144.750,35.135,3.040,149.700
0.950,183.107,144.751,35.155,3.013,149.643
0.960,183.050,144.797,35.174,3.021,149.587
0.970,182.984,144.817,35.176,2.978,149.584
0.980,182.914,144.838,35.176,2.928,149.597
0.990,182.874,144.856,35.169,2.900,149.631
1.000,182.856,144.880,35.155,2.891,149.688
1.010,182.831,144.898,35.130,2.860,149.746
1.020,182.818,144.913,35.124,2.855,149.763
1.030,182.807,144.931,35.107,2.844,149.789
1.040,182.756,144.930,35.134,2.820,149.735
1.050,182.716,144.955,35.151,2.821,149.696
1.060,182.664,144.975,35.174,2.814,149.638
1.070,182.599,145.003,35.192,2.794,149.611
1.080,182.545,145.028,35.172,2.745,149.655
1.090,182.490,145.044,35.173,2.707,149.683
1.100,182.455,145.056,35.115,2.626,149.810
1.110,182.417,145.083,35.092,2.592,149.871
1.120,182.388,145.104,35.054,2.547,149.962
1.130,182.385,145.112,35.015,2.512,150.049
1.140,182.385,145.141,34.986,2.512,150.102
1.150,182.352,145.159,34.999,2.510,150.087
1.160,182.263,145.239,35.022,2.524,150.079
1.170,182.175,145.278,35.056,2.508,150.010
1.180,182.079,145.299,35.098,2.476,149.926
1.190,181.955,145.317,35.133,2.405,149.864
1.200,181.834,145.298,35.139,2.271,149.850
1.210,181.754,145.240,35.162,2.156,149.756
1.220,181.581,145.329,35.113,2.023,149.941
1.230,181.514,145.352,35.103,1.969,149.998
1.240,181.442,145.363,35.099,1.904,150.034
1.250,181.364,145.383,35.016,1.762,150.182
1.260,181.289,145.389,35.005,1.684,150.228
1.270,181.213,145.413,35.097,1.723,150.095
1.280,181.139,145.375,34.978,1.492,150.230
1.290,181.082,145.393,35.024,1.499,150.164
1.300,180.998,145.390,35.101,1.488,150.041
1.310,180.939,145.385,35.119,1.443,150.018
1.320,181.101,145.382,34.872,1.356,150.522
1.330,180.973,145.389,34.920,1.282,150.430
1.340,180.832,145.396,34.937,1.165,150.407
1.350,180.650,145.389,35.154,1.193,149.988
1.360,180.493,145.400,35.255,1.148,149.730
1.370,180.347,145.417,35.282,1.046,149.693
1.380,180.268,145.426,35.294,0.988,149.680
1.390,180.171,145.432,35.283,0.887,149.720
1.400,180.142,145.448,35.244,0.835,149.822
1.410,180.083,145.469,35.211,0.763,149.910
1.420,179.985,145.482,35.221,0.688,149.905
1.430,179.926,145.494,35.192,0.612,149.969
1.440,179.901,145.521,35.198,0.620,149.956
