time,hka,mldfa,mpta,jlca,mldta
0.000,152.184,149.687,43.342,14.786,142.307
0.010,151.670,149.700,43.540,15.090,142.115
0.020,151.382,149.811,43.614,15.193,142.094
0.030,150.882,149.817,43.852,15.450,141.862
0.040,150.366,149.849,44.105,15.680,141.602
0.050,149.791,149.865,44.387,15.956,141.304
0.060,149.162,149.845,44.672,16.321,141.004
0.070,148.505,149.850,44.986,16.658,140.676
0.080,147.851,149.867,45.319,16.964,140.327
0.090,147.204,149.863,45.605,17.328,140.059
0.100,146.662,149.869,45.854,17.615,139.861
0.110,146.116,149.874,46.074,17.936,139.696
0.120,145.643,149.876,46.300,18.181,139.543
0.130,145.191,149.877,46.545,18.387,139.362
0.140,144.730,149.876,46.776,18.618,139.177
0.150,144.285,149.862,47.018,18.835,138.970
0.160,143.884,149.849,47.182,19.084,138.840
0.170,143.476,149.844,47.395,19.285,138.632
0.180,143.086,149.835,47.560,19.519,138.452
0.190,142.787,149.822,47.697,19.694,138.307
0.200,142.457,149.822,47.839,19.883,138.152
0.210,142.223,149.827,47.961,19.989,138.033
0.220,141.961,149.822,48.093,20.124,137.926
0.230,141.769,149.827,48.203,20.201,137.842
0.240,141.565,149.829,48.294,20.312,137.785
0.250,141.387,149.831,48.384,20.398,137.737
0.260,141.214,149.839,48.482,20.465,137.673
0.270,141.051,149.832,48.562,20.556,137.620
0.280,140.903,149.841,48.610,20.647,137.585
0.290,140.728,149.843,48.675,20.754,137.514
0.300,140.615,149.864,48.721,20.800,137.449
0.310,140.455,149.864,48.780,20.901,137.350
0.320,140.384,149.880,48.811,20.924,137.303
0.330,140.294,149.883,48.866,20.957,137.227
0.340,140.185,149.881,48.949,20.985,137.108
0.350,139.920,149.885,49.057,21.138,136.927
0.360,139.781,149.910,49.131,21.178,136.809
0.370,139.537,149.907,49.265,21.290,136.642
0.380,139.380,149.903,49.407,21.310,136.504
0.390,139.080,149.879,49.510,21.531,136.377
0.400,139.034,149.911,49.527,21.529,136.373
0.410,138.751,149.884,49.661,21.704,136.239
0.420,138.671,149.899,49.746,21.683,136.202
0.430,138.486,149.891,49.838,21.785,136.144
0.440,138.328,149.899,49.935,21.838,136.075
0.450,138.026,149.897,50.089,21.988,135.910
0.460,137.765,149.911,50.201,22.123,135.794
0.470,137.510,149.902,50.331,22.256,135.651
0.480,136.984,149.851,50.656,22.509,135.218
0.490,136.614,149.853,50.925,22.608,134.790
0.500,135.955,149.897,51.096,23.052,134.464
0.510,135.546,149.955,51.299,23.199,134.256
0.520,134.810,149.877,51.745,23.568,133.835
0.530,134.596,149.950,52.009,23.445,133.714
0.540,134.049,149.914,52.407,23.630,133.378
0.550,133.645,149.904,52.694,23.758,133.128
0.560,133.036,149.874,52.996,24.095,132.721
0.570,132.648,149.856,53.167,24.329,132.477
0.580,132.061,149.762,53.451,24.727,132.070
