time,hka,mldfa,mpta,jlca,mldta
0.000,172.190,150.285,35.728,1.798,150.686
0.010,172.167,150.260,35.744,1.830,150.663
0.020,172.161,150.260,35.750,1.829,150.655
0.030,172.151,150.257,35.753,1.839,150.651
0.040,172.143,150.254,35.753,1.851,150.652
0.050,172.138,150.257,35.747,1.858,150.659
0.060,172.146,150.306,35.749,1.799,150.642
0.070,172.138,150.303,35.745,1.815,150.651
0.080,172.122,150.289,35.755,1.834,150.639
0.090,172.125,150.287,35.750,1.837,150.649
0.100,172.113,150.266,35.751,1.869,150.657
0.110,172.106,150.271,35.753,1.870,150.651
0.120,172.096,150.268,35.758,1.878,150.642
0.130,172.099,150.308,35.754,1.839,150.642
0.140,172.095,150.311,35.756,1.838,150.636
0.150,172.089,150.317,35.760,1.833,150.627
0.160,172.077,150.307,35.758,1.857,150.634
0.170,172.064,150.320,35.771,1.845,150.610
0.180,172.030,150.321,35.801,1.848,150.549
0.190,172.017,150.313,35.813,1.857,150.528
0.200,172.021,150.328,35.803,1.848,150.545
0.210,172.011,150.335,35.804,1.850,150.539
0.220,172.012,150.349,35.809,1.830,150.527
0.230,171.997,150.336,35.816,1.852,150.522
0.240,171.988,150.347,35.813,1.853,150.519
0.250,171.972,150.360,35.819,1.849,150.512
0.260,171.950,150.355,35.819,1.876,150.512
0.270,171.929,150.354,35.828,1.889,150.503
0.280,171.896,150.331,35.842,1.931,150.488
0.290,171.875,150.323,35.840,1.961,150.493
0.300,171.866,150.319,35.849,1.966,150.492
0.310,171.840,150.315,35.850,1.995,150.490
0.320,171.846,150.340,35.848,1.967,150.495
0.330,171.821,150.360,35.847,1.972,150.489
0.340,171.797,150.369,35.859,1.974,150.465
0.350,171.789,150.360,35.852,1.999,150.481
0.360,171.761,150.364,35.876,2.000,150.438
0.370,171.741,150.327,35.873,2.059,150.453
0.380,171.741,150.360,35.875,2.024,150.442
0.390,171.721,150.346,35.883,2.050,150.439
0.400,171.733,150.354,35.868,2.045,150.461
0.410,171.730,150.384,35.866,2.020,150.464
0.420,171.740,150.385,35.856,2.018,150.480
0.430,171.725,150.381,35.873,2.020,150.452
0.440,171.731,150.363,35.874,2.032,150.455
0.450,171.724,150.374,35.872,2.030,150.453
0.460,171.720,150.374,35.890,2.017,150.416
0.470,171.720,150.357,35.887,2.036,150.425
0.480,171.726,150.363,35.882,2.029,150.433
0.490,171.744,150.354,35.877,2.026,150.439
0.500,171.756,150.359,35.875,2.010,150.446
0.510,171.757,150.357,35.868,2.018,150.451
0.520,171.740,150.365,35.885,2.011,150.422
0.530,171.727,150.401,35.888,1.984,150.391
0.540,171.702,150.432,35.904,1.963,150.352
0.550,171.673,150.448,35.909,1.969,150.335
0.560,171.644,150.463,35.921,1.972,150.308
0.570,171.637,150.486,35.918,1.959,150.311
0.580,171.643,150.483,35.907,1.966,150.344
