time,hka,mldfa,mpta,jlca,mldta
0.000,179.889,145.291,35.340,0.520,149.359
0.010,179.900,145.287,35.331,0.519,149.373
0.020,179.911,145.281,35.336,0.528,149.367
0.030,179.919,145.279,35.334,0.531,149.369
0.040,179.944,145.277,35.325,0.546,149.377
0.050,179.947,145.272,35.347,0.566,149.336
0.060,179.967,145.273,35.340,0.580,149.343
0.070,179.978,145.280,35.337,0.595,149.347
0.080,179.996,145.277,35.342,0.615,149.344
0.090,180.017,145.279,35.331,0.627,149.361
0.100,180.033,145.278,35.309,0.620,149.399
0.110,180.047,145.283,35.307,0.636,149.406
0.120,180.046,145.281,35.305,0.631,149.409
0.130,180.052,145.279,35.304,0.635,149.403
0.140,180.036,145.270,35.314,0.619,149.387
0.150,180.067,145.258,35.330,0.655,149.340
0.160,180.068,145.254,35.345,0.667,149.314
0.170,180.086,145.263,35.340,0.690,149.314
0.180,180.081,145.254,35.332,0.666,149.325
0.190,180.085,145.255,35.321,0.661,149.342
0.200,180.086,145.253,35.321,0.660,149.350
0.210,180.100,145.262,35.311,0.673,149.363
0.220,180.098,145.259,35.305,0.662,149.374
0.230,180.092,145.262,35.310,0.664,149.368
0.240,180.078,145.266,35.340,0.684,149.323
0.250,180.070,145.262,35.349,0.680,149.313
0.260,180.042,145.265,35.354,0.662,149.301
0.270,180.029,145.258,35.339,0.627,149.324
0.280,180.023,145.262,35.344,0.629,149.315
0.290,180.012,145.259,35.333,0.604,149.335
0.300,180.000,145.264,35.337,0.601,149.327
0.310,179.991,145.262,35.330,0.583,149.341
0.320,179.995,145.258,35.330,0.584,149.347
0.330,180.009,145.254,35.313,0.576,149.377
0.340,180.000,145.257,35.322,0.579,149.365
0.350,180.005,145.257,35.326,0.588,149.360
0.360,180.003,145.263,35.327,0.593,149.358
0.370,179.987,145.261,35.329,0.577,149.352
0.380,179.986,145.269,35.329,0.583,149.350
0.390,179.981,145.266,35.340,0.587,149.336
0.400,179.992,145.260,35.332,0.584,149.348
0.410,180.001,145.261,35.331,0.594,149.354
0.420,179.993,145.256,35.334,0.583,149.347
0.430,179.996,145.255,35.330,0.582,149.353
0.440,179.993,145.255,35.332,0.581,149.350
0.450,180.003,145.261,35.321,0.585,149.366
0.460,179.990,145.260,35.335,0.585,149.350
0.470,179.994,145.256,35.322,0.572,149.368
0.480,179.982,145.259,35.328,0.570,149.365
0.490,179.974,145.258,35.336,0.569,149.348
