time,hka,mldfa,mpta,jlca,mldta
0.000,173.388,148.644,35.739,2.229,150.427
0.010,173.302,148.647,35.754,2.297,150.417
0.020,173.220,148.643,35.759,2.378,150.421
0.030,173.123,148.663,35.787,2.427,150.393
0.040,173.020,148.653,35.794,2.533,150.406
0.050,172.920,148.660,35.807,2.614,150.406
0.060,172.793,148.681,35.828,2.698,150.392
0.070,172.663,148.700,35.850,2.787,150.376
0.080,172.522,148.711,35.882,2.885,150.344
0.090,172.387,148.750,35.909,2.954,150.316
0.100,172.260,148.795,35.935,3.010,150.290
0.110,172.147,148.787,35.953,3.113,150.287
0.120,172.017,148.771,35.981,3.231,150.265
0.130,171.892,148.778,35.993,3.337,150.257
0.140,171.766,148.791,36.036,3.408,150.199
0.150,171.622,148.806,36.075,3.497,150.146
0.160,171.471,148.815,36.129,3.584,150.072
0.170,171.302,148.823,36.177,3.699,150.005
0.180,171.153,148.862,36.224,3.762,149.942
0.190,170.997,148.852,36.255,3.897,149.912
0.200,170.846,148.849,36.300,4.005,149.865
0.210,170.688,148.854,36.322,4.136,149.854
0.220,170.525,148.864,36.369,4.241,149.812
0.230,170.355,148.869,36.423,4.353,149.756
0.240,170.226,148.884,36.434,4.456,149.761
0.250,170.060,148.885,36.503,4.552,149.682
0.260,169.903,148.877,36.530,4.690,149.667
0.270,169.724,148.907,36.610,4.759,149.560
0.280,169.548,148.911,36.682,4.858,149.468
0.290,169.365,148.909,36.758,4.969,149.373
0.300,169.200,148.914,36.824,5.063,149.294
0.310,169.035,148.907,36.888,5.171,149.222
0.320,168.859,148.895,36.994,5.252,149.100
0.330,168.690,148.893,37.030,5.387,149.069
0.340,168.550,148.910,37.067,5.473,149.040
0.350,168.415,148.923,37.093,5.568,149.027
0.360,168.257,148.908,37.137,5.699,148.997
0.370,168.080,148.924,37.199,5.797,148.930
0.380,167.889,148.930,37.258,5.924,148.872
0.390,167.661,148.903,37.330,6.106,148.804
0.400,167.447,148.938,37.402,6.214,148.733
0.410,167.197,148.916,37.510,6.377,148.622
0.420,166.988,148.922,37.558,6.533,148.591
0.430,166.768,148.922,37.646,6.664,148.510
0.440,166.562,148.929,37.695,6.814,148.484
0.450,166.312,148.933,37.765,6.991,148.424
0.460,166.065,148.938,37.842,7.154,148.370
0.470,165.777,148.989,37.953,7.281,148.256
