time,hka,mldfa,mpta,jlca,mldta
0.000,179.373,145.122,35.854,0.349,148.764
0.010,179.488,145.099,35.837,0.424,148.767
0.020,179.934,144.917,35.641,0.492,148.999
0.030,180.428,144.817,35.397,0.642,149.346
0.040,180.561,144.780,35.378,0.719,149.361
0.050,180.688,144.763,35.255,0.706,149.553
0.060,180.849,144.749,35.224,0.821,149.577
0.070,180.943,144.746,35.215,0.904,149.561
0.080,181.115,144.784,35.144,1.043,149.683
0.090,181.192,144.690,35.130,1.012,149.699
0.100,181.163,144.610,35.207,0.980,149.607
0.110,181.225,144.554,35.215,0.995,149.552
0.120,181.296,144.514,35.240,1.050,149.508
0.130,181.481,144.508,35.233,1.222,149.510
0.140,181.699,144.473,35.219,1.391,149.471
0.150,181.891,144.442,35.202,1.535,149.466
0.160,182.085,144.417,35.170,1.673,149.474
0.170,182.153,144.380,35.187,1.720,149.448
0.180,182.437,144.348,35.045,1.830,149.717
0.190,182.560,144.294,35.023,1.877,149.748
0.200,182.712,144.324,35.003,2.039,149.762
0.210,182.968,144.314,34.902,2.184,149.910
0.220,183.040,144.277,34.922,2.239,149.894
0.230,183.110,144.238,34.920,2.268,149.877
0.240,183.216,144.208,34.944,2.367,149.812
0.250,183.389,144.179,34.920,2.488,149.837
0.260,183.576,144.155,34.917,2.648,149.815
0.270,183.815,144.135,34.892,2.841,149.848
0.280,183.786,144.059,34.982,2.828,149.696
0.290,183.990,144.057,34.891,2.938,149.812
0.300,184.208,144.092,34.849,3.149,149.870
0.310,184.301,144.087,34.836,3.224,149.888
0.320,184.438,144.067,34.801,3.307,149.970
0.330,184.508,144.050,34.845,3.403,149.912
0.340,184.631,144.035,34.801,3.468,149.992
0.350,184.585,144.077,34.864,3.526,149.888
0.360,184.749,144.068,34.794,3.611,150.024
0.370,184.874,143.999,34.761,3.634,150.064
0.380,184.899,143.982,34.787,3.668,150.008
0.390,184.969,143.989,34.776,3.735,150.025
0.400,185.020,143.982,34.716,3.718,150.113
0.410,185.097,143.975,34.740,3.812,150.085
0.420,184.991,143.970,34.782,3.743,149.994
0.430,185.084,143.961,34.727,3.772,150.093
0.440,185.057,143.938,34.764,3.760,150.063
0.450,185.098,143.916,34.784,3.798,150.000
0.460,185.271,143.954,34.707,3.932,150.096
0.470,185.273,143.937,34.734,3.944,150.045
0.480,185.214,143.932,34.782,3.928,149.961
0.490,185.206,143.922,34.796,3.924,149.923
0.500,185.245,143.935,34.785,3.965,149.926
0.510,185.210,144.022,34.806,4.038,149.873
0.520,185.202,144.034,34.791,4.027,149.903
0.530,185.168,144.040,34.810,4.017,149.873
0.540,185.126,144.056,34.818,3.999,149.853
0.550,185.088,144.072,34.831,3.991,149.819
0.560,185.010,144.078,34.867,3.955,149.761
0.570,184.996,144.107,34.861,3.964,149.771
0.580,184.982,144.124,34.852,3.958,149.789
0.590,184.936,144.127,34.862,3.925,149.770
0.600,184.864,144.156,34.868,3.888,149.766
0.610,184.847,144.173,34.874,3.893,149.759
0.620,184.843,144.192,34.863,3.897,149.782
0.630,184.858,144.227,34.814,3.899,149.835
0.640,184.679,144.259,34.937,3.874,149.594
0.650,184.596,144.265,34.967,3.827,149.549
0.660,184.472,144.286,35.033,3.791,149.417
0.670,184.431,144.285,34.984,3.700,149.517
0.680,184.382,144.318,34.987,3.688,149.526
0.690,184.278,144.393,35.030,3.701,149.469
0.700,184.264,144.351,35.026,3.641,149.451
0.710,184.268,144.357,34.996,3.621,149.488
0.720,184.276,144.351,34.941,3.568,149.576
0.730,184.213,144.374,34.987,3.574,149.514
0.740,184.171,144.385,35.017,3.573,149.474
0.750,184.057,144.357,35.041,3.455,149.434
0.760,184.071,144.380,34.933,3.385,149.662
0.770,183.934,144.378,34.989,3.302,149.559
0.780,183.842,144.391,35.092,3.325,149.399
0.790,183.803,144.381,35.065,3.249,149.443
0.800,183.768,144.391,35.049,3.208,149.478
0.810,183.745,144.417,35.101,3.263,149.405
0.820,183.735,144.416,35.104,3.254,149.404
0.830,183.694,144.453,35.108,3.255,149.393
0.840,183.639,144.478,35.110,3.226,149.383
0.850,183.564,144.493,35.128,3.185,149.338
0.860,183.499,144.520,35.137,3.156,149.317
0.870,183.425,144.534,35.159,3.118,149.277
0.880,183.388,144.549,35.173,3.109,149.274
0.890,183.369,144.558,35.205,3.132,149.237
0.900,183.370,144.558,35.192,3.120,149.274
0.910,183.390,144.537,35.135,3.062,149.375
0.920,183.424,144.558,35.140,3.122,149.360
0.930,183.442,144.537,35.125,3.104,149.378
0.940,183.436,144.566,35.122,3.123,149.358
0.950,183.384,144.571,35.142,3.096,149.301
0.960,183.323,144.620,35.162,3.104,149.244
0.970,183.253,144.644,35.164,3.061,149.239
0.980,183.179,144.669,35.165,3.012,149.250
0.990,183.134,144.691,35.159,2.984,149.282
1.000,183.111,144.719,35.146,2.976,149.336
1.010,183.081,144.742,35.122,2.945,149.392
1.020,183.063,144.761,35.117,2.941,149.408
1.030,183.047,144.784,35.100,2.931,149.432
1.040,182.992,144.787,35.126,2.906,149.379
1.050,182.948,144.816,35.143,2.907,149.340
1.060,182.893,144.840,35.166,2.899,149.283
1.070,182.823,144.873,35.183,2.879,149.257
1.080,182.764,144.901,35.163,2.829,149.301
1.090,182.703,144.923,35.164,2.790,149.328
1.100,182.663,144.940,35.107,2.710,149.454
1.110,182.619,144.972,35.084,2.675,149.515
1.120,182.585,144.997,35.047,2.629,149.605
1.130,182.576,145.011,35.008,2.595,149.692
1.140,182.571,145.044,34.979,2.595,149.745
1.150,182.534,145.067,34.991,2.592,149.731
1.160,182.442,145.152,35.014,2.608,149.722
1.170,182.349,145.195,35.047,2.591,149.655
1.180,182.249,145.221,35.088,2.558,149.575
1.190,182.121,145.243,35.121,2.485,149.516
1.200,181.995,145.227,35.126,2.348,149.506
1.210,181.910,145.172,35.146,2.229,149.419
1.220,181.732,145.267,35.099,2.098,149.600
1.230,181.660,145.295,35.088,2.043,149.659
1.240,181.583,145.310,35.083,1.976,149.697
1.250,181.500,145.334,35.000,1.834,149.847
1.260,181.420,145.346,34.989,1.754,149.895
1.270,181.340,145.373,35.078,1.791,149.767
1.280,181.260,145.339,34.958,1.557,149.908
1.290,181.200,145.361,35.002,1.563,149.846
1.300,181.112,145.361,35.076,1.549,149.730
1.310,181.050,145.360,35.092,1.502,149.712
1.320,181.206,145.361,34.845,1.412,150.217
1.330,181.075,145.371,34.890,1.336,150.130
1.340,180.930,145.383,34.905,1.218,150.112
1.350,180.747,145.379,35.118,1.244,149.703
1.360,180.588,145.393,35.216,1.197,149.454
1.370,180.439,145.414,35.240,1.094,149.421
1.380,180.357,145.427,35.250,1.034,149.414
1.390,180.256,145.438,35.238,0.931,149.459
1.400,180.223,145.458,35.197,0.878,149.564
1.410,180.160,145.483,35.162,0.805,149.658
1.420,180.058,145.500,35.170,0.728,149.658
1.430,179.996,145.515,35.140,0.650,149.728
1.440,179.968,145.546,35.143,0.657,149.721
1.450,179.897,145.557,35.126,0.581,149.781
1.460,179.852,145.560,35.093,0.505,149.835
1.470,179.780,145.580,35.101,0.461,149.841
1.480,179.711,145.594,35.138,0.444,149.793
1.490,179.592,145.601,35.163,0.357,149.750
1.500,179.552,145.629,35.166,0.347,149.739
1.510,179.444,145.588,35.182,0.214,149.749
1.520,179.381,145.643,35.157,0.181,149.844
1.530,179.367,145.662,35.099,0.129,149.986
1.540,179.194,145.735,35.184,0.113,149.853
1.550,179.180,145.677,35.168,0.025,149.887
1.560,178.995,145.692,35.262,0.051,149.704
1.570,179.072,145.705,35.203,0.019,149.820
1.580,179.343,145.692,34.878,0.086,150.515
1.590,179.441,145.799,35.107,0.347,150.215
1.600,179.323,145.807,34.961,0.091,150.426
1.610,179.176,145.784,34.906,0.134,150.518
1.620,179.233,145.819,34.916,0.032,150.518
1.630,179.149,145.798,34.958,0.095,150.468
1.640,179.103,145.802,34.947,0.148,150.506
1.650,179.066,145.785,34.947,0.202,150.513
1.660,179.081,145.790,34.950,0.179,150.509
1.670,179.021,145.808,34.960,0.211,150.479
1.680,179.012,145.819,34.834,0.334,150.647
1.690,179.034,145.846,34.661,0.459,150.888
1.700,179.025,145.877,34.693,0.405,150.840
1.710,178.992,145.770,34.723,0.514,150.803
1.720,179.059,145.771,34.679,0.490,150.882
1.730,179.126,145.792,34.605,0.477,150.975
1.740,179.191,145.768,34.577,0.464,151.037
1.750,179.221,145.752,34.553,0.474,151.098
1.760,179.258,145.752,34.545,0.445,151.119
1.770,179.262,145.730,34.566,0.441,151.081
1.780,179.450,145.722,34.454,0.374,151.252
1.790,179.477,145.703,34.408,0.412,151.357
1.800,179.533,145.692,34.422,0.352,151.314
1.810,179.297,145.662,34.635,0.406,150.884
1.820,179.344,145.637,34.611,0.408,150.906
1.830,179.486,145.635,34.632,0.247,150.913
1.840,179.608,145.601,34.691,0.100,150.843
1.850,179.649,145.586,34.659,0.105,150.921
1.860,179.641,145.546,34.685,0.127,150.895
1.870,179.659,145.541,34.657,0.143,150.975
1.880,179.833,145.546,34.592,0.029,151.002
1.890,179.876,145.542,34.580,0.002,150.981
1.900,179.828,145.528,34.631,0.013,150.897
1.910,179.825,145.518,34.652,0.005,150.857
1.920,179.835,145.500,34.668,0.003,150.784
1.930,178.751,145.736,35.412,0.101,149.612
1.940,178.747,145.686,35.463,0.104,149.514
1.950,178.748,145.659,35.473,0.120,149.480
1.960,178.685,145.637,35.513,0.166,149.407
1.970,178.675,145.654,35.519,0.152,149.434
1.980,178.594,145.629,35.575,0.203,149.341
1.990,178.521,145.536,35.576,0.367,149.430
2.000,178.430,145.435,35.618,0.517,149.438
2.010,178.455,145.425,35.600,0.520,149.531
2.020,178.425,145.388,35.591,0.595,149.606
2.030,178.348,145.397,35.602,0.653,149.643
2.040,178.381,145.378,35.573,0.668,149.697
2.050,178.338,145.365,35.590,0.707,149.665
2.060,178.253,145.348,35.635,0.764,149.581
2.070,178.209,145.342,35.494,0.955,149.784
2.080,178.318,145.334,35.415,0.933,149.916
2.090,178.125,145.305,35.392,1.178,149.930
2.100,178.196,145.292,35.334,1.178,150.063
2.110,178.124,145.266,35.343,1.267,150.070
2.120,178.064,145.257,35.384,1.295,149.998
2.130,178.131,145.240,35.347,1.282,150.056
2.140,178.135,145.233,35.337,1.295,150.084
2.150,178.150,145.215,35.343,1.292,150.076
2.160,178.210,145.207,35.276,1.307,150.195
2.170,178.320,145.226,35.194,1.260,150.254
2.180,178.245,145.199,35.322,1.234,150.050
2.190,178.254,145.102,35.275,1.369,150.096
2.200,178.313,145.059,35.289,1.339,150.078
2.210,178.345,144.979,35.269,1.406,150.187
2.220,178.572,144.970,35.220,1.238,150.202
2.230,178.133,145.039,35.569,1.260,149.679
2.240,178.732,144.918,35.239,1.111,150.149
2.250,178.740,144.875,35.215,1.170,150.248
2.260,178.791,144.855,35.229,1.125,150.194
2.270,178.787,144.828,35.254,1.131,150.142
2.280,178.862,144.838,35.231,1.069,150.175
2.290,179.023,144.858,35.186,0.933,150.180
2.300,178.984,144.833,35.270,0.913,150.014
2.310,178.912,144.777,35.338,0.973,149.889
2.320,179.061,144.679,35.313,0.946,149.921
2.330,179.196,144.653,35.229,0.923,150.154
2.340,179.470,144.609,35.142,0.779,150.318
2.350,179.620,144.562,35.103,0.715,150.370
2.360,179.711,144.545,35.139,0.605,150.351
2.370,179.854,144.529,35.158,0.459,150.270
2.380,180.061,144.504,35.139,0.296,150.247
2.390,180.304,144.485,35.107,0.104,150.211
2.400,180.661,144.458,34.995,0.114,150.344
2.410,180.963,144.421,34.929,0.313,150.432
2.420,181.259,144.369,34.890,0.519,150.462
2.430,181.663,144.319,34.790,0.772,150.593
2.440,181.838,144.316,34.840,0.993,150.494
2.450,182.175,144.293,34.768,1.236,150.575
2.460,182.326,144.197,34.908,1.431,150.364
2.470,182.697,144.203,34.829,1.729,150.416
2.480,183.005,144.206,34.801,2.012,150.403
2.490,183.248,144.183,34.787,2.218,150.377
2.500,183.443,144.176,34.802,2.422,150.297
2.510,183.655,144.155,34.802,2.612,150.263
2.520,183.832,144.130,34.762,2.725,150.297
2.530,184.042,144.099,34.740,2.881,150.329
2.540,184.221,144.079,34.754,3.054,150.286
2.550,184.478,144.058,34.710,3.246,150.376
2.560,184.854,144.023,34.583,3.461,150.631
2.570,184.937,144.013,34.610,3.559,150.561
2.580,185.161,143.977,34.537,3.675,150.711
2.590,185.290,144.004,34.488,3.782,150.784
2.600,185.349,144.006,34.475,3.830,150.789
2.610,185.335,143.975,34.515,3.825,150.755
2.620,185.405,143.966,34.494,3.866,150.809
2.630,185.419,143.965,34.489,3.872,150.834
2.640,185.404,143.954,34.475,3.833,150.862
2.650,185.380,143.956,34.465,3.801,150.888
2.660,185.362,143.968,34.466,3.796,150.887
2.670,185.307,143.968,34.503,3.777,150.819
2.680,185.258,143.953,34.536,3.746,150.751
2.690,185.302,144.099,34.532,3.933,150.701
2.700,185.287,144.101,34.551,3.939,150.663
2.710,185.271,144.101,34.574,3.947,150.608
2.720,185.280,144.103,34.572,3.955,150.606
2.730,185.259,144.104,34.559,3.923,150.637
2.740,185.232,144.112,34.561,3.905,150.651
2.750,185.285,144.131,34.487,3.903,150.792
2.760,185.257,144.145,34.492,3.893,150.787
2.770,185.135,144.163,34.567,3.865,150.643
2.780,185.083,144.177,34.606,3.866,150.569
2.790,185.030,144.189,34.629,3.848,150.524
2.800,184.961,144.180,34.593,3.734,150.569
2.810,184.943,144.177,34.618,3.737,150.523
2.820,184.847,144.178,34.685,3.709,150.388
2.830,184.774,144.199,34.783,3.756,150.193
2.840,184.773,144.205,34.784,3.762,150.180
2.850,184.768,144.249,34.767,3.784,150.213
2.860,184.732,144.241,34.790,3.763,150.158
2.870,184.640,144.233,34.846,3.720,150.073
2.880,184.655,144.177,34.884,3.716,149.968
2.890,184.693,144.182,34.914,3.789,149.881
2.900,184.864,144.272,34.790,3.925,150.043
2.910,184.911,144.289,34.787,3.987,150.029
2.920,184.905,144.265,34.848,4.018,149.923
2.930,184.972,144.284,34.827,4.083,149.972
2.940,185.000,144.305,34.806,4.111,150.026
2.950,185.068,144.363,34.746,4.176,150.135
2.960,185.132,144.375,34.596,4.103,150.452
2.970,185.087,144.317,34.592,3.996,150.487
2.980,185.022,144.314,34.615,3.951,150.464
2.990,184.969,144.331,34.709,4.009,150.325
3.000,184.913,144.313,34.718,3.943,150.316
3.010,184.873,144.328,34.768,3.969,150.225
3.020,184.846,144.348,34.818,4.012,150.113
3.030,184.808,144.351,34.832,3.990,150.061
3.040,184.717,144.390,34.870,3.976,149.977
3.050,184.656,144.393,34.886,3.935,149.948
3.060,184.579,144.424,34.887,3.890,149.948
3.070,184.548,144.455,34.861,3.864,150.005
3.080,184.495,144.453,34.859,3.807,150.022
3.090,184.492,144.479,34.810,3.780,150.123
3.100,184.493,144.494,34.810,3.798,150.134
3.110,184.468,144.483,34.833,3.784,150.095
3.120,184.418,144.517,34.937,3.872,149.917
3.130,184.350,144.537,34.959,3.846,149.854
3.140,184.268,144.569,34.992,3.830,149.751
3.150,184.159,144.600,35.002,3.761,149.698
3.160,184.051,144.620,35.013,3.684,149.659
3.170,183.967,144.647,34.995,3.609,149.675
3.180,183.938,144.670,34.956,3.564,149.753
3.190,183.956,144.710,34.926,3.592,149.807
3.200,183.952,144.722,34.930,3.604,149.814
3.210,183.974,144.733,34.917,3.624,149.852
3.220,183.951,144.754,34.925,3.629,149.835
3.230,183.918,144.771,34.943,3.632,149.787
3.240,183.845,144.796,34.984,3.625,149.682
3.250,183.788,144.838,35.024,3.651,149.585
3.260,183.757,144.868,35.020,3.645,149.573
3.270,183.752,144.897,35.022,3.670,149.579
3.280,183.730,144.919,35.016,3.666,149.620
3.290,183.748,144.948,34.983,3.678,149.708
3.300,183.748,144.978,34.938,3.664,149.807
3.310,183.746,145.009,34.916,3.671,149.857
3.320,183.712,145.034,34.908,3.655,149.872
3.330,183.701,145.051,34.939,3.690,149.820
3.340,183.666,145.077,34.935,3.678,149.803
3.350,183.645,145.099,34.956,3.700,149.767
3.360,183.625,145.120,34.966,3.710,149.756
3.370,183.610,145.146,34.958,3.714,149.790
3.380,183.591,145.215,34.902,3.708,149.951
3.390,183.575,145.251,34.876,3.701,150.016
3.400,183.601,145.287,34.831,3.719,150.115
3.410,183.594,145.300,34.819,3.713,150.152
3.420,183.592,145.291,34.813,3.696,150.155
3.430,183.552,145.275,34.763,3.590,150.202
3.440,183.880,145.229,34.513,3.622,150.607
3.450,183.672,145.296,34.651,3.618,150.423
3.460,183.453,145.313,34.829,3.594,150.052
3.470,183.450,145.341,34.795,3.586,150.110
3.480,183.406,145.349,34.812,3.567,150.107
3.490,183.462,145.337,34.780,3.579,150.148
3.500,183.430,145.360,34.698,3.488,150.291
3.510,183.367,145.383,34.689,3.438,150.328
3.520,183.284,145.417,34.689,3.390,150.320
3.530,183.231,145.452,34.678,3.361,150.333
3.540,183.097,145.482,34.698,3.277,150.319
3.550,183.010,145.505,34.759,3.273,150.236
3.560,182.941,145.529,34.765,3.235,150.226
3.570,182.912,145.557,34.774,3.243,150.244
3.580,182.831,145.604,34.793,3.228,150.234
3.590,182.690,145.627,34.697,3.015,150.379
3.600,182.607,145.653,34.704,2.965,150.388
3.610,182.515,145.673,34.698,2.886,150.418
3.620,182.796,145.679,34.322,2.797,151.176
3.630,182.743,145.663,34.232,2.639,151.341
3.640,182.632,145.670,34.323,2.625,151.201
3.650,182.560,145.691,34.317,2.568,151.223
3.660,182.469,145.698,34.305,2.472,151.262
3.670,182.343,145.704,34.347,2.394,151.220
3.680,182.281,145.705,34.277,2.262,151.388
3.690,182.248,145.723,34.225,2.196,151.489
3.700,182.156,145.739,34.193,2.089,151.581
3.710,181.985,145.762,34.236,1.983,151.520
3.720,181.878,145.759,34.213,1.851,151.577
3.730,181.786,145.766,34.239,1.791,151.541
3.740,181.681,145.759,34.249,1.689,151.543
3.750,181.618,145.766,34.300,1.683,151.452
3.760,181.555,145.765,34.312,1.632,151.433
3.770,181.470,145.770,34.413,1.654,151.246
3.780,181.401,145.775,34.431,1.607,151.189
3.790,181.432,145.861,34.405,1.697,151.165
3.800,181.431,145.884,34.392,1.707,151.173
3.810,181.376,145.877,34.304,1.557,151.295
3.820,181.361,145.874,34.212,1.447,151.430
3.830,181.391,145.856,34.265,1.512,151.367
3.840,181.333,145.864,34.310,1.507,151.267
3.850,180.879,145.866,34.816,1.561,150.259
3.860,180.947,145.772,34.746,1.466,150.426
3.870,181.405,145.901,34.450,1.756,150.875
3.880,181.715,145.951,34.294,1.960,151.097
3.890,181.522,145.934,34.467,1.923,150.830
3.900,181.613,145.945,34.446,2.004,150.857
3.910,181.405,145.937,34.652,1.993,150.440
3.920,181.448,145.943,34.635,2.026,150.463
3.930,181.432,145.950,34.650,2.033,150.418
3.940,181.561,145.970,34.536,2.067,150.626
3.950,181.591,145.964,34.530,2.085,150.650
3.960,181.657,145.969,34.491,2.116,150.732
3.970,182.433,145.923,33.949,2.305,151.616
3.980,182.302,145.842,34.003,2.148,151.611
3.990,182.400,145.809,33.936,2.146,151.752
4.000,182.474,145.785,33.906,2.164,151.780
4.010,182.562,145.766,33.882,2.210,151.781
4.020,182.640,145.807,33.873,2.321,151.747
4.030,182.627,145.774,33.924,2.325,151.636
4.040,182.691,145.737,33.889,2.317,151.671
