time,hka,mldfa,mpta,jlca,mldta
0.000,152.314,149.598,43.182,14.906,142.210
0.010,151.799,149.611,43.378,15.211,142.022
0.020,151.510,149.724,43.449,15.317,142.001
0.030,151.009,149.730,43.685,15.576,141.774
0.040,150.493,149.764,43.934,15.808,141.517
0.050,149.919,149.781,44.213,16.087,141.224
0.060,149.291,149.761,44.494,16.454,140.928
0.070,148.635,149.767,44.805,16.793,140.605
0.080,147.982,149.784,45.134,17.101,140.260
0.090,147.336,149.781,45.417,17.467,139.996
0.100,146.794,149.787,45.663,17.756,139.802
0.110,146.247,149.794,45.881,18.078,139.639
0.120,145.775,149.796,46.104,18.325,139.488
0.130,145.322,149.798,46.346,18.533,139.310
0.140,144.862,149.797,46.575,18.765,139.127
0.150,144.417,149.784,46.814,18.985,138.922
0.160,144.018,149.771,46.976,19.235,138.794
0.170,143.611,149.765,47.187,19.437,138.588
0.180,143.222,149.756,47.350,19.672,138.410
0.190,142.924,149.743,47.485,19.848,138.267
0.200,142.595,149.741,47.625,20.038,138.114
0.210,142.362,149.746,47.746,20.146,137.996
0.220,142.101,149.741,47.877,20.282,137.890
0.230,141.909,149.747,47.985,20.359,137.807
0.240,141.705,149.749,48.075,20.471,137.751
0.250,141.527,149.751,48.165,20.558,137.703
0.260,141.354,149.759,48.262,20.625,137.640
0.270,141.191,149.752,48.340,20.717,137.587
0.280,141.042,149.762,48.388,20.808,137.552
0.290,140.868,149.764,48.453,20.916,137.482
0.300,140.755,149.785,48.498,20.963,137.418
0.310,140.596,149.785,48.556,21.064,137.320
0.320,140.525,149.801,48.586,21.087,137.274
0.330,140.435,149.804,48.640,21.120,137.198
0.340,140.327,149.802,48.722,21.149,137.081
0.350,140.062,149.806,48.829,21.303,136.903
0.360,139.924,149.831,48.901,21.344,136.786
0.370,139.681,149.829,49.034,21.456,136.622
0.380,139.524,149.825,49.174,21.477,136.486
0.390,139.225,149.801,49.276,21.698,136.361
0.400,139.178,149.834,49.292,21.696,136.357
0.410,138.896,149.807,49.425,21.872,136.225
0.420,138.816,149.823,49.509,21.852,136.188
0.430,138.631,149.815,49.600,21.954,136.131
0.440,138.473,149.823,49.696,22.008,136.063
0.450,138.173,149.820,49.849,22.158,135.899
0.460,137.912,149.834,49.959,22.294,135.785
0.470,137.659,149.825,50.088,22.427,135.644
0.480,137.135,149.774,50.411,22.680,135.215
0.490,136.768,149.775,50.678,22.779,134.791
0.500,136.112,149.819,50.846,23.223,134.470
0.510,135.704,149.877,51.047,23.372,134.265
0.520,134.969,149.800,51.489,23.743,133.850
0.530,134.755,149.874,51.749,23.622,133.730
0.540,134.209,149.839,52.143,23.809,133.397
0.550,133.806,149.828,52.426,23.939,133.150
0.560,133.200,149.799,52.725,24.277,132.748
0.570,132.814,149.780,52.894,24.512,132.508
0.580,132.229,149.686,53.175,24.910,132.106
0.590,131.915,149.656,53.342,25.087,131.919
0.600,131.759,149.675,53.436,25.129,131.806
0.610,131.631,149.664,53.666,25.039,131.255
0.620,131.254,149.578,53.909,25.259,130.858
0.630,131.306,149.623,53.793,25.277,131.057
0.640,131.091,149.606,54.014,25.288,130.846
0.650,130.806,149.558,54.209,25.427,130.678
0.660,130.712,149.590,54.312,25.386,130.628
0.670,130.523,149.607,54.406,25.464,130.525
0.680,130.185,149.516,54.535,25.764,130.348
0.690,130.160,149.554,54.534,25.752,130.341
0.700,130.129,149.559,54.553,25.759,130.295
0.710,129.921,149.508,54.682,25.889,130.139
0.720,130.102,149.499,54.657,25.743,130.226
0.730,130.261,149.553,54.527,25.660,130.388
0.740,130.154,149.491,54.548,25.807,130.318
0.750,130.165,149.505,54.464,25.866,130.374
0.760,130.237,149.496,54.431,25.836,130.378
0.770,130.436,149.558,54.368,25.639,130.461
0.780,130.534,149.548,54.414,25.504,130.439
0.790,130.577,149.566,54.426,25.431,130.415
0.800,130.422,149.489,54.520,25.569,130.295
0.810,130.252,149.503,54.623,25.623,130.167
0.820,129.904,149.517,54.968,25.610,129.766
0.830,129.788,149.514,55.050,25.648,129.690
0.840,129.838,149.551,55.039,25.572,129.730
0.850,129.889,149.580,55.035,25.495,129.771
0.860,129.944,149.572,54.961,25.523,129.898
0.870,129.909,149.568,54.969,25.555,129.879
0.880,129.883,149.563,55.043,25.511,129.773
0.890,129.798,149.536,55.004,25.662,129.776
0.900,129.806,149.536,54.982,25.676,129.771
0.910,129.774,149.536,55.020,25.669,129.704
0.920,129.760,149.513,55.097,25.631,129.622
0.930,129.821,149.526,55.092,25.561,129.645
0.940,129.843,149.493,55.130,25.534,129.636
0.950,129.873,149.483,55.132,25.512,129.664
0.960,130.085,149.546,55.031,25.339,129.814
0.970,130.035,149.549,55.011,25.404,129.823
0.980,129.905,149.531,55.025,25.540,129.767
0.990,129.772,149.491,55.065,25.672,129.679
1.000,129.790,149.483,55.038,25.688,129.697
1.010,129.867,149.474,55.045,25.614,129.689
1.020,130.187,149.516,54.949,25.348,129.856
1.030,130.292,149.507,54.941,25.260,129.881
1.040,130.390,149.498,54.915,25.197,129.921
1.050,130.487,149.502,54.809,25.202,130.039
1.060,130.441,149.481,54.780,25.298,130.026
1.070,130.328,149.443,54.858,25.372,129.909
1.080,130.464,149.458,54.776,25.302,130.006
1.090,130.618,149.448,54.709,25.225,130.107
1.100,130.832,149.437,54.641,25.090,130.202
1.110,131.158,149.451,54.483,24.908,130.395
1.120,131.448,149.438,54.340,24.775,130.526
1.130,131.743,149.421,54.194,24.643,130.662
1.140,132.081,149.405,53.997,24.517,130.841
1.150,132.224,149.323,53.938,24.515,130.823
1.160,132.724,149.392,53.682,24.202,131.080
1.170,133.138,149.393,53.496,23.973,131.236
1.180,133.877,149.400,52.881,23.841,131.919
1.190,134.415,149.405,52.543,23.638,132.340
1.200,134.872,149.399,52.378,23.351,132.519
1.210,135.359,149.397,52.168,23.076,132.777
1.220,135.885,149.397,51.927,22.791,133.038
1.230,136.258,149.396,51.677,22.669,133.569
1.240,136.820,149.407,51.354,22.419,133.856
1.250,137.282,149.396,51.180,22.142,133.963
1.260,137.849,149.406,50.931,21.814,134.171
1.270,138.484,149.400,50.586,21.531,134.517
1.280,139.131,149.403,50.279,21.187,134.832
1.290,139.755,149.405,50.001,20.839,135.122
1.300,140.400,149.404,49.727,20.469,135.412
1.310,141.010,149.397,49.450,20.143,135.677
1.320,141.605,149.403,49.160,19.833,135.988
1.330,142.206,149.424,48.865,19.505,136.238
1.340,142.820,149.435,48.565,19.181,136.528
1.350,143.385,149.434,48.284,18.897,136.792
1.360,143.986,149.420,47.982,18.612,137.097
1.370,144.586,149.420,47.688,18.307,137.383
1.380,145.209,149.420,47.458,17.913,137.617
1.390,145.835,149.425,47.149,17.591,137.916
1.400,146.464,149.434,46.835,17.267,138.231
1.410,147.080,149.439,46.544,16.937,138.501
1.420,147.655,149.460,46.285,16.600,138.731
1.430,148.169,149.469,46.055,16.307,138.919
1.440,148.768,149.482,45.719,16.031,139.263
1.450,149.335,149.461,45.452,15.752,139.541
1.460,149.910,149.501,45.183,15.406,139.823
1.470,150.500,149.479,44.932,15.089,140.092
1.480,151.025,149.497,44.714,14.764,140.317
1.490,151.623,149.501,44.473,14.403,140.599
1.500,152.130,149.500,44.299,14.072,140.789
1.510,152.690,149.525,44.061,13.724,141.045
1.520,153.162,149.497,43.809,13.531,141.335
1.530,153.690,149.520,43.596,13.194,141.591
1.540,154.140,149.528,43.359,12.974,141.865
1.550,154.621,149.545,43.123,12.712,142.153
1.560,155.120,149.550,42.856,12.474,142.482
1.570,155.527,149.547,42.696,12.230,142.667
1.580,155.987,149.545,42.487,11.981,142.912
1.590,156.481,149.552,42.245,11.722,143.188
1.600,156.911,149.562,42.043,11.484,143.405
1.610,157.345,149.561,41.873,11.222,143.561
